"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.3634659000966,0.0394834714913524,26,-1.88862421735819,0.0701472153403384,-0.00563961897312524
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.472520427745739,0.0277909444329627,39,-2.98848158526711,0.00483220753877324,-0.00679278684295498
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.310487944194557,0.0205529682695114,50,-2.21732743139084,0.0311752384544162,-0.00336217396130891
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.613987214548054,0.0396163383271413,29,-3.36294647427734,0.00218090031612428,-0.00616178676483049
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.701325379335841,0.0194676350601606,63,-5.61060303468673,4.81827471131337e-07,-0.0070964961465621
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.53060790403672,0.0115229532718497,98,-5.27948198546011,7.79561326120081e-07,-0.00760976915179356
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.156168727410406,0.0160665767573094,62,-1.23955084588011,0.21981306104878,-0.00152592181314342
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.412359192778761,0.00803718556988575,134,-4.79118085886302,4.33552018306779e-06,-0.00477027962656512
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.600475604203712,0.024589280742123,47,-4.16021702074579,0.000134051639195914,-0.0110880422856026
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.874945304075907,0.0329229676800533,41,-5.67029364100557,1.27272737053159e-06,-0.0106752260062401
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-0.637129485536695,0.0429631068096474,27,-3.37137234335324,0.00227004803566651,-0.0102656607464662
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.261141831723358,0.0287249313371643,35,-1.56685099034015,0.126147329433556,-0.00189272782965626
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.0950302495513743,0.0313911054426531,31,0.537572271005013,0.594710733435348,0.00138939949348459
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.14223117258485,0.0459143115103378,21,0.667123333430147,0.511957870931301,0.00244852942278512
