"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.289531453949567,0.037211222550467,27,1.53205644776301,0.137142962062388,0.00561775011271563
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.317819120721064,0.0269360127371271,38,1.98477977275578,0.0544231237509581,0.00564272925941484
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.286256041714724,0.0204112011903743,50,-2.04427703414368,0.0462101536860426,-0.00342613379078432
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.385779426255543,0.0358137627620343,29,-2.11300093981561,0.043326684985788,-0.00541952101237739
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.00798242047425622,0.015385105531051,64,-0.0643563313187492,0.948887095013825,0.000606570551543527
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.141896686571277,0.0102027003518177,98,1.41185420505477,0.161160248082544,0.00235898252255868
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.405938168954572,0.0174579499759209,61,3.19636033871024,0.0022056907545933,0.00423568001123213
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.430629506621616,0.00797606486121597,136,5.04038914770727,1.45406434738579e-06,0.00547016207058443
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.488203593021667,0.0238121568961624,46,3.34695520843131,0.00163557004536237,0.00751602271489551
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.121513082074702,0.023985302727563,41,0.787494776390493,0.435521345143017,0.00170237296648017
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.506807673534042,0.0403009646063034,27,2.68177413342057,0.012339190031885,0.00675812954365619
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.0840392429840656,0.0278758693661296,35,0.504235457904394,0.617255617432832,0.00282001949972893
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.104202410982804,0.0324331958460424,30,0.580174470391024,0.56612953399754,0.00015526683266951
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-0.957556407814549,0.0634111798727544,22,-4.5922792059471,0.000141996778368107,-0.0167058452588679
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.282602776339192,0.00962900152404916,107,2.93689420187703,0.00405974056591498,0.00353155830009818
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.181001107687321,0.00741883722986875,136,-2.11856364898794,0.0359456958023172,-0.0020994085257224
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.163072031119136,0.0151238245323382,66,-1.33480210193589,0.186527524919204,-0.00287477875348808
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.599040249945117,0.0287664539152964,40,3.83572914362141,0.000434607148761029,0.0104138628380254
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.242135349391943,0.0135436153120076,75,2.11088703731678,0.0381150862471645,0.00123950014005893
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.271912537169007,0.0265889285624319,38,1.69809325035988,0.097665923312781,0.00345816699632682
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.652407729710283,0.0153521256062388,78,5.79872674102448,1.35580802367614e-07,0.00632760557802645
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",0.134561055186888,0.0131045888154091,76,1.18076846719484,0.241376881806298,0.00255701046838866
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.0402055501084586,0.00481157809197001,207,-0.579852689897137,0.56264454937852,-0.00125309962511077
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.229890269416607,0.0263185837945185,38,-1.43566427235798,0.159278977442383,-0.00333463427313952
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-0.404180122101104,0.00974487194189939,110,-4.25830182024298,4.35579257261226e-05,-0.00431290503701099
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",0.357978450006428,0.0114416589820914,92,3.45221915182357,0.000841874993236765,0.00551234388515203
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.253627745004062,0.0264657311927672,38,1.58390475988867,0.121503594129399,0.00259269270986205
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",0.913606199118105,0.0186491860991252,75,7.96463419229624,1.39319628503772e-11,0.013757721431615
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",0.232923013777773,0.00341238061519488,300,4.04106325544942,6.76713799964252e-05,0.00268948646018137
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",1.18216605853455,0.00449406956342741,377,22.9839350634639,1.04252546629371e-73,0.0190694278667637
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",1.15650861650819,0.00434571898445011,383,22.6628479486174,9.76516841645104e-73,0.0176436061487584
"Anna",165,92,73,NA,NA,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",0.56557345608662,0.00711617587187044,162,7.22075851136509,1.90416079577236e-11,0.00750419851539319
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",0.236580086979734,0.0367137524563453,27,1.25186415059681,0.221356264892422,0.00372049223628624
