"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.644026148008859,0.0431208871306987,27,-3.40786605090863,0.00206840872006706,-0.0446477293484049
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.318178378380183,0.0269389420572903,38,-1.98702333611789,0.0541638376071531,-0.0560792046798861
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.325521415854649,0.0206467077664707,50,-2.32468789328391,0.0241897200171756,-0.0372008403669968
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.559996340065198,0.0385599316814403,29,-3.06722627574043,0.00464666698587503,-0.0628546749049195
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.430685637313262,0.0170741415483432,63,-3.4454850985061,0.001019734273376,-0.045096252517713
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.727697583296357,0.0130388854264709,96,-7.16699002059649,1.5725050921489e-10,-0.0768792006592094
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.313023594157074,0.0171965882827788,60,-2.44479242481643,0.0174473972668785,-0.0371777412198613
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.325479796385691,0.007977034461573,131,-3.73947816104009,0.000274571346553718,-0.0365719660824192
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.379590525605741,0.0228094570971239,46,-2.60234153313765,0.0124175103338759,-0.0377407306476369
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.378448316774122,0.0255145610532044,41,-2.452625408762,0.0185255590735583,-0.0591670683159451
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-0.42094991478543,0.0388785505492475,27,-2.22745757787216,0.0344454118040753,-0.0557446778153128
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.184044884703279,0.0290553217083635,34,-1.08882422157597,0.283889212348537,-0.0224505315896041
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-1.25073946827923,0.0574895035082486,30,-6.96382263867008,9.78340801775398e-08,-0.131441989863889
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",1.0438205503073,0.0735609843153296,20,4.78338668373368,0.000113278383370202,0.0919658973110658
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.272731309338664,0.00997299214948837,103,-2.78132453657111,0.00643903303962801,-0.0207131498545006
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.250460802426826,0.00763974301315663,134,-2.91009155003053,0.00423228264572175,-0.0255051068700443
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.239981963846133,0.015827625715165,64,-1.93479644747039,0.0574375204037758,-0.0287790790839915
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-0.200188620729179,0.0255009435483681,39,-1.26610400630361,0.212986609443815,-0.0310118212719448
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",-0.431123495695498,0.0143807070298731,75,-3.75844749984534,0.000336145232872923,-0.0303814804079583
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-0.322482172709815,0.0269742916886621,38,-2.01390052309196,0.0511400683539384,-0.0314593904343915
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",-0.668090537224863,0.0156816984995475,77,-5.90041586182649,9.15970757578535e-08,-0.0638541404159261
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-0.74336292660208,0.0163627464144001,77,-6.56520360464319,5.4664127273496e-09,-0.0852707385104663
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.352158908119141,0.00520592131511683,203,-5.02983527561329,1.07745129893216e-06,-0.0471411439696362
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.149779339895225,0.0252804231332431,39,-0.947287721010876,0.349325103035698,-0.0241442696811108
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-0.0800342203632989,0.00937572652536991,106,-0.827880412813491,0.409598265464809,-0.00709396718948468
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",-0.358072301955864,0.0114420202872472,92,-3.45312422724717,0.000839381053964549,-0.0458863423574662
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",-0.426998916667803,0.0287148430899405,37,-2.63219810115959,0.012301809347592,-0.0467901973921702
