"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.406760750571067,0.0401010057075025,26,-2.11359085954182,0.0443021349562692,-0.0301675417746598
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.0186915976537939,0.0250043671977856,39,-0.118216043386896,0.90650326062811,-0.0012054902127378
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.342197240748531,0.0211709895157591,49,-2.41969989436612,0.0192890623350736,-0.0202128341017184
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.0890292930030616,0.0334654369168771,29,0.487633520565137,0.629475714447684,0.00565693616021295
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.433788547675274,0.0170950976882361,63,3.47030838140219,0.00094386521090373,0.0182649151708477
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.270694715739419,0.0106869877790167,96,-2.66603376301515,0.00900663298379408,-0.0197887600353303
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.452625318365631,0.0180727022854556,60,-3.53511674607232,0.000792222522541758,-0.0279477773571834
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.445266272933485,0.00796471758627564,137,-5.23069435410507,6.17969757326922e-07,-0.0307687994836017
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.330426890549397,0.0224381056382781,46,-2.26529263229118,0.0282482600105989,-0.0256949386243103
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.0884610418288525,0.0233468064642029,42,-0.580077843588408,0.56496136150286,-0.00475349766506579
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-0.267120204324681,0.0398337154530473,25,-1.36205113432644,0.185329273390741,-0.0197965084028247
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.0739858907984642,0.0294922634123124,33,-0.431408170143122,0.668976972309272,-0.0114632550516304
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-0.0687282183423362,0.0313238057499455,31,-0.388785513989885,0.700092434058363,-0.00527175356195958
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-0.097681748139269,0.0436856896504249,22,-0.4684652069786,0.644060361080306,-0.00638310718509019
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.00326465160891572,0.00925930860162096,107,-0.033927254733921,0.972998368821886,0.00260703828841868
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.223256965502298,0.00759201360238998,134,-2.59401152794561,0.0105413284339361,-0.0128596258723649
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.160890251169388,0.0153476187342526,65,-1.30707857943164,0.195791206917726,-0.0114072349264104
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-0.310728539634745,0.0262069028167943,39,-1.9652198385274,0.056539842538182,-0.0194625066318449
