"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.597043209347477,0.0420796534612131,27,3.1592557077866,0.00387483370614293,0.09438632290581
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.450623885075143,0.0282443831512848,38,2.81414526032477,0.00770435009005764,0.0681915422644047
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.405500700936306,0.0270553852307479,39,2.564611615507,0.0142928002282027,0.0504951676587629
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.743808410959353,0.0510650190442775,24,3.71904205479676,0.00106820420825933,0.0907120402591958
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.572439886656383,0.0200662708951308,57,4.35957229352147,5.51450415807165e-05,0.0918305614791704
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.665786374234815,0.0140417902075675,86,6.21004188086977,1.81591624387631e-08,0.0932260562058572
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.391792867373231,0.0188903653589872,56,2.95797128158788,0.00452917070382375,0.0580698382084076
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.390457958484835,0.0092778336954489,115,4.20536091339623,5.18346772738419e-05,0.0633358542936685
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.033067712766024,0.021751016017691,45,-0.224276139766378,0.823557651415441,0.00147764468490979
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.387705426921231,0.0250036685821416,42,2.54235450257423,0.0147867006800059,0.0596818406259153
