"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.460950927069482,0.0395084956636824,27,-2.43912303926104,0.0215762821774718,-0.131354298299139
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.600285349877814,0.0287846646497309,40,-3.84370167317849,0.000424438634339535,-0.157050564935527
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.826353161331953,0.0273761178290134,48,-5.78447212932367,5.34162328196001e-07,-0.19516724377681
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.871815497071995,0.0475872803609464,28,-4.69487013314658,6.38593909092707e-05,-0.159650039733803
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.786911381011218,0.0207875358854364,62,-6.24591545400623,4.25629056504284e-08,-0.165462399120991
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.782471401300556,0.0137487447044908,94,-7.626587829171,1.92420682359185e-11,-0.184692480795354
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.693981950833794,0.0206800912340257,59,-5.37556107629564,1.36669163106685e-06,-0.184870603004706
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.794889993827658,0.00989417331686968,132,-9.16711860969495,8.31870233288683e-16,-0.170167557284686
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.49278025063936,0.0243786127763064,45,-3.34219826900331,0.0016804551118075,-0.119135578808385
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.993832762389707,0.0347407390651065,42,-6.51699724280774,7.16304845500971e-08,-0.242798401643006
