"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.55626445922779,0.0412398240821426,27,2.94347484460112,0.00659661577462853,0.0459683761206038
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.562526390885394,0.0289554492555318,39,3.55772927830406,0.00100112076748879,0.0488657472331328
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.159656638321937,0.0202549024216026,49,1.1289429161889,0.264418800815466,0.0152687296159076
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.222815791982966,0.0353387392613275,28,1.19989976146047,0.240232900176729,0.0166637849693547
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.447995500557499,0.0177475803912884,61,3.52752009891161,0.000803509653695862,0.0383326248858741
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.0997680283887228,0.0105787034709925,94,0.972418454891943,0.333338088137251,0.00588020498867374
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.941708276415206,0.0240567873155742,59,7.29444094308357,8.57931608289837e-10,0.0679675658115747
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.662618791839714,0.00896714582095266,135,7.72739659967577,2.23438335144143e-12,0.0628204137420137
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.589209456626891,0.0249698700401974,46,4.03941652192395,0.000201390973948012,0.0536101263849623
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.344481070748793,0.0258374049768809,40,-2.20575509344842,0.0332089103551476,-0.0269878965447816
