"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.440237484679493,0.0391751614806594,27,2.32951780454109,0.0275569921122468,0.0674218583973779
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.503242015057974,0.0281656565714951,39,3.1827819637519,0.00286263873306738,0.0717476854226076
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.206773060416651,0.0200270107697458,50,1.47665501191628,0.146039097345087,0.0447047936838761
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.496209537516647,0.0387279983641808,28,2.67217013839914,0.0124207844274652,0.0890997930022328
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.448254189750925,0.017467712846264,62,3.55790733067111,0.000723428559664967,0.074570614191289
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.68128917017095,0.0127018295535682,96,6.70992015891735,1.35427192677266e-09,0.0919466117150874
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.75008754737966,0.020666381683339,61,5.90619525426565,1.67935613597498e-07,0.109633387613221
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.67562635103473,0.00916593644109143,133,7.82094044680533,1.43133630352026e-12,0.103332018546184
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",1.02781501288185,0.0318375385490137,47,7.12091129237368,5.35972867891182e-09,0.119730340405211
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.388511303308767,0.0250109422418451,42,2.54763898744369,0.014594745459694,0.0478809609313027
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.29181270064568,0.0386139750418171,26,1.51630327143661,0.14150783978425,0.0457643303734619
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.202269977118173,0.030013428582991,33,1.17942650634753,0.246661751138842,0.0172258840517489
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.991208054188489,0.0481047323659376,30,5.51881288026076,5.38527238064145e-06,0.114871328439794
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-0.531083900079587,0.0496097849766031,22,-2.54698890952554,0.0183742829468053,-0.0810597575534359
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.711434615951019,0.0114960514347402,108,7.4275954515777,2.72082377420278e-11,0.0966375960701386
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.475745240593155,0.00830721467890686,133,5.50714931238506,1.81616349209327e-07,0.0636255143501347
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.541383905288146,0.0176392040992696,64,4.36477658521348,4.73875265649805e-05,0.0826105147296192
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.525366108505614,0.0284501193495792,39,3.3227070166738,0.0019455207237351,0.0594461505954992
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.686987615443004,0.0162628419985004,75,5.98901918236008,6.78299846642073e-08,0.0842298317678308
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.291986507717304,0.0267340528293455,38,1.8234551562539,0.0761078308124983,0.0462491576859834
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.91696394084421,0.0186896241368983,75,7.99390630602144,1.22555418956612e-11,0.113871162798469
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",0.472712083565141,0.0144380306100552,76,4.14803169877404,8.65221396873689e-05,0.0727376379325133
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",0.425940244232468,0.00526914273347057,206,6.12821295101277,4.45128382970774e-09,0.0735932450457611
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.685956693274074,0.0316735459621475,38,4.28379817648457,0.000120602829131559,0.100829266763066
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",0.600323850854337,0.0107290396632026,109,6.29624966543607,6.56082032548462e-09,0.102223788690342
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",0.621286239812015,0.0129673727814117,91,5.95916826778177,4.73470876538932e-08,0.0823619689830459
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.613713960149968,0.0312716424326705,37,3.78318692976601,0.000548922177634629,0.0592747883441147
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",0.678779962164689,0.0164049482469086,74,5.87840690814461,1.1100941958891e-07,0.0888470826620628
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",0.284713265626871,0.00345691302927561,300,4.93959054282834,1.30269562878506e-06,0.0481846794127443
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",0.599899941219348,0.00312981424333551,376,11.6479499132708,5.54146183400955e-27,0.0873979221900306
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",0.928080198121452,0.0037256938205015,383,18.1865834062294,1.00937947447402e-53,0.135175406756405
"Anna",165,92,73,NA,NA,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",0.782496185178465,0.00821478075414733,158,9.86690146353946,3.43891303079869e-18,0.111322150090322
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",0.540738635803252,0.0382066378708394,29,2.96174748544012,0.00604854229650378,0.059853691269787
"BIG",2326,973,1353,1995,103,17.39,82.66,22.47,1076480,2086070,1610760,"BIG/ASY_DescriptiveInfo.Rdata",0.600515857524295,0.00050897354358304,2318,28.9184395399431,2.81057856962406e-157,0.0866751067831264
"BILGIN",453,221,232,248,205,18.08,57.18,24.03,1111532,1835334,1396760,"BILGIN/ASY_DescriptiveInfo.Rdata",0.600752006382176,0.00262906789885547,448,12.7297067898017,6.7056251921457e-32,0.0803650950407794
"CAMH_ASD",146,77,69,139,6,18,86,40,1123430,1833770,1471570,"CAMH_ASD/ASY_DescriptiveInfo.Rdata",0.538366671709044,0.00806281222960237,141,6.41537930253578,1.98704356094215e-09,0.0685960676138928
"Christoph",85,44,41,NA,NA,21,75,35,1240000,1930000,1570000,"Christoph/ASY_DescriptiveInfo.Rdata",0.301439997524268,0.0127491833665087,81,2.72965527362144,0.00777560679796685,0.0426178405835862
"ClarissaBr",398,149,249,110,5,18,55,32,811432,1900000,1330000,"ClarissaBr/ASY_DescriptiveInfo.Rdata",0.579862169967328,0.00295726599513825,394,11.5245326926037,1.11187132623797e-26,0.0828944544399224
"Colm_UCSF",88,46,42,NA,NA,13,17,15,1230000,1810000,1560000,"Colm_UCSF/ASY_DescriptiveInfo.Rdata",0.535044859978961,0.0132922848964529,85,4.9618019094208,3.54417181245902e-06,0.0795663452101696
"ClinG_sample",323,132,191,307,15,18,58,24,1062340,2081450,1581790,"Egle/ClinG_sample/ASY_DescriptiveInfo.Rdata",0.58002177762856,0.00366210856194889,318,10.3595201985885,7.33879333351764e-22,0.0824929518672185
"HMS_sample",55,21,34,44,7,19,64,41,1155270,1921180,1525650,"Egle/HMS_sample/ASY_DescriptiveInfo.Rdata",0.419422001282706,0.0201473593996295,53,3.08210967011874,0.00325818153511115,0.0753524719433626
"EstherCOBRE",70,50,20,NA,NA,18,65,34.5,1070000,1920000,1505000,"EstherCOBRE/ASY_DescriptiveInfo.Rdata",0.558722168311582,0.0177859266258677,64,4.50456213061622,2.88647882701988e-05,0.0905514985852611
"EstherMCIC",164,102,62,150,5,18,60,27,1290000,1990000,1615000,"EstherMCIC/ASY_DescriptiveInfo.Rdata",0.535290404710935,0.00714542442929874,159,6.77094755407953,2.34072468425021e-10,0.0772068475728096
"FIDMAG",117,55,62,NA,NA,21,63,41,1211550,1850590,1509640,"FIDMAG/ASY_DescriptiveInfo.Rdata",0.561836902457955,0.0100680900215806,114,6.0250295493722,2.12200742062839e-08,0.0794237749183622
"GEB",674,305,374,616,26,16.92,24.08,20.33,861850,1597510,1129565,"GEB/ASY_DescriptiveInfo.Rdata",0.465431765425364,0.00164682520673623,672,12.0743442109156,1.61473131214629e-30,0.0687616809394773
"GloriaBPSydney",100,47,53,91,8,14,30,22,995969,1784914,1360040,"GloriaBPSydney/ASY_DescriptiveInfo.Rdata",0.474859804629938,0.0113545501737407,97,4.70087223153447,8.56492102455759e-06,0.0680751097438881
"JPCapeTown",26,10,16,NA,NA,19,56,29,1333950,1885170,1577910,"JPCapeTown/ASY_DescriptiveInfo.Rdata",0.433190098151284,0.04207026271416,25,2.20884476356857,0.036575083564376,0.0564763016285061
"Malt",44,18,26,NA,NA,20,50,27.5,970748,1648073,1307202,"Malt/ASY_DescriptiveInfo.Rdata",0.248456303898363,0.0234287560789413,43,1.64807267365877,0.106626684726578,0.0405304225618745
"MatthewSacchet",59,23,36,49,9,18.85,60.53,35.73,1060000,1710000,1430000,"MatthewSacchet/ASY_DescriptiveInfo.Rdata",0.880396992266312,0.0247776684284961,55,6.58828781881361,1.77939786611325e-08,0.114494602623273
"MDD_Ilya",74,31,43,NA,NA,20,64,40.5,1300000,1930000,1570000,"MDD_Ilya/ASY_DescriptiveInfo.Rdata",0.632034964805351,0.0166629735884479,71,5.36299451473038,9.72007612689662e-07,0.0763713019835413
"MichelleLBC",636,336,300,593,38,71.04,74.22,72.69,1059294,1812082,1433641,"MichelleLBC/ASY_DescriptiveInfo.Rdata",0.4564093955372,0.0017526266161386,629,11.4557849094167,9.95811708579639e-28,0.0677958824095206
"ASY_results_FOR2107",425,160,265,403,22,18,65,27,1150870,1948960,1544530,"Muenster/ASY_results_FOR2107/ASY_DescriptiveInfo.Rdata",0.540513069067171,0.00273526775397663,418,11.064026586726,3.9471696577656e-25,0.0821190667936436
"ASY_results_MuensterCohort",739,323,416,725,14,17,65,32,930805,2015100,1432380,"Muenster/ASY_results_MuensterCohort/ASY_DescriptiveInfo.Rdata",-0.0468789709922421,0.00138656346116433,721,-1.25964065477915,0.208206618158545,-0.00769828646345147
"NESDA",65,23,42,NA,NA,21,56,40,992501,1906610,1499970,"NESDA/ASY_DescriptiveInfo.Rdata",0.179622449240584,0.015632801725163,64,1.44816248315826,0.152453143002546,0.0350389966604426
"NeuroIMAGE",388,180,208,NA,NA,7.72,28.59,16.53,1259250,2025730,1579145,"NeuroIMAGE/ASY_DescriptiveInfo.Rdata",0.510738746488842,0.00294382039995442,383,10.0083945661309,4.21991587550406e-21,0.0739882497626423
"NicolaMAS",532,242,290,497,16,70.3,90.06,78.08,912609,1884820,1376990,"NicolaMAS/ASY_DescriptiveInfo.Rdata",0.288732111544861,0.00198794487808889,523,6.60938012920037,9.53119039574985e-11,0.0385954817896469
"NicolaOATS",413,143,270,369,23,65,89,69,1052340,1882020,1425270,"NicolaOATS/ASY_DescriptiveInfo.Rdata",0.511979023404914,0.00277902029533986,406,10.3287882060533,2.32075801366095e-22,0.0746777131246172
"NORM_Moscow",54,54,0,NA,NA,16.07,27.62,22.94,1149026,1872418,1533725,"NORM_Moscow/ASY_DescriptiveInfo_nosex.Rdata",0.662016757437524,0.0230025111993216,52,4.81955474269034,1.29047345739884e-05,0.074421529250817
"NUIG",83,48,35,69,5,18,58,36,1270000,1960000,1570000,"NUIG/ASY_DescriptiveInfo.Rdata",0.235522670706882,0.0116788120932779,87,2.20939849295853,0.0297735427633598,0.048105481975942
"01_Cheng_1.5T",38,11,27,NA,NA,18,49,30.5,1123950,1641540,1367960,"OCD/01_Cheng_1.5T/ASY_DescriptiveInfo.Rdata",0.529801090154872,0.0325812742161327,34,3.13434551852937,0.00353835931851511,0.075258818662918
"01_Cheng_3T",93,27,66,NA,NA,22,39,25,933842,1753880,1307235,"OCD/01_Cheng_3T/ASY_DescriptiveInfo.Rdata",0.661825356435138,0.0141744930373285,85,6.13751586622493,2.57489602830495e-08,0.0821024241570713
"02_Heuvel_1.5T",49,19,30,44,5,21,53,29,1162690,1843920,1478330,"OCD/02_Heuvel_1.5T/ASY_DescriptiveInfo.Rdata",0.844308930068332,0.0301428618821459,44,5.66379648492872,1.05031069658779e-06,0.103443623580388
"02_Heuvel_3T",36,17,19,29,5,21.51,64.02,39.55,1271150,1780840,1567660,"OCD/02_Heuvel_3T/ASY_DescriptiveInfo.Rdata",0.883032231717802,0.0421173624583716,32,5.0726339740152,1.60886088451044e-05,0.0962757638915455
"03_Huyser",23,9,14,21,2,8.67,16.83,14.42,1210000,1600000,1400000,"OCD/03_Huyser/ASY_DescriptiveInfo.Rdata",0.264196271173637,0.0449956449935229,22,1.2670408056362,0.218390018615766,0.0143851119831502
"04_Mataix_Cols",33,21,12,17,2,21,63,32,1200000,1970000,1450000,"OCD/04_Mataix_Cols/ASY_DescriptiveInfo.Rdata",0.38588888893566,0.0358151705767333,29,2.11360049160667,0.0432713590579258,0.0677369240280128
"OXUK",35,16,19,31,4,13.7,18.88,16.27,1370000,1960000,1640000,"OXUK/ASY_DescriptiveInfo.Rdata",0.605762926879061,0.0348080694644278,33,3.5321744863125,0.00124139200912302,0.0839647996784765
"GRADUAL",449,207,242,NA,NA,17,27,20,897723,1833040,1432528,"QiuOld/GRADUAL/ASY_DescriptiveInfo.Rdata",0.42399813769869,0.00246580816829407,441,8.91405036900763,1.31085584090343e-17,0.0597051387184138
"OLDERS",193,58,135,NA,NA,30,80,60,1052606,1787736,1393392,"QiuOld/OLDERS/ASY_DescriptiveInfo.Rdata",0.418206017291155,0.00569344574057207,190,5.77972214934413,3.02223086429395e-08,0.0681457733768523
"QTIM",1040,366,674,NA,NA,15.4,30.11,22.04,1140000,2010000,1470000,"QTIM/ASY_DescriptiveInfo.Rdata",0.647385689497194,0.00116639741126604,1036,20.8474275514148,7.07457723549189e-81,0.104905767463635
"Quinn",54,23,31,NA,NA,7,24,17,1280000,1880000,1570000,"Quinn/ASY_DescriptiveInfo.Rdata",0.405737610691518,0.0204209717804685,52,2.95381439204837,0.00470455007601188,0.0577593019039159
"SaoPaulo1",69,45,24,NA,NA,17,43,27,787079,1316860,1045415,"SaoPaulo1/ASY_DescriptiveInfo.Rdata",0.627970380010526,0.01786825968784,66,5.14015909067296,2.64349861969376e-06,0.101703184953523
"SaoPaulo3",85,45,40,NA,NA,18,50,29,1014957,1860720,1465983,"SaoPaulo3/ASY_DescriptiveInfo.Rdata",0.526079564843122,0.0137154199309972,82,4.7928129328484,7.23302059208855e-06,0.0780331023593953
"SaudEPIGEN",68,39,29,63,5,18.35,54.11,33.44,920698,2020000,1560000,"SaudEPIGEN/ASY_DescriptiveInfo.Rdata",0.550973388469752,0.0171908333940436,66,4.50991155253884,2.72761497543052e-05,0.0616427007418682
"SHIP-2",448,250,198,408,22,31,89,57,1215740,2036700,1573160,"SHIP/SHIP-2/ASY_DescriptiveInfo.Rdata",0.442935513071265,0.000980442798544511,1119,14.8234575247635,1.59473643783886e-45,0.0660248766375757
"SHIP-TREND-0",937,528,409,855,36,21,81,51,1166230,2047120,1596805,"SHIP/SHIP-TREND-0/ASY_DescriptiveInfo.Rdata",0.454972276138023,0.000549004918421446,2009,20.3977827674718,3.31153337288053e-84,0.0678436066208952
"StenerEOP",47,20,27,NA,NA,12.01,18.78,16.13,1288205,1880424,1531958,"StenerEOP/ASY_DescriptiveInfo.Rdata",0.701378720337339,0.0283174103334323,43,4.65242010259713,3.13226561102681e-05,0.106923223776446
"UMCG_sample_groenewold",23,6,17,NA,NA,24,66,44,1207950,1816640,1471080,"UMCG_sample_groenewold/ASY_DescriptiveInfo.Rdata",0.567395390785037,0.0580484382371026,19,2.5374693278308,0.0200854996181618,0.0797148022466788
"1.5T_Adults_Lateralization",20,14,6,NA,NA,18,38,24.5,1084040,1685950,1424395,"Venkat/1.5T_Adults_Lateralization/ASY_DescriptiveInfo.Rdata",0.823489055793714,0.0669533556253006,19,3.68275501496372,0.00158066683985871,0.12209626050431
"3T_Adults_Lateralization",170,108,62,NA,NA,18,45,26,995985,1710000,1410000,"Venkat/3T_Adults_Lateralization/ASY_DescriptiveInfo.Rdata",0.731924448229861,0.00750211064472363,168,9.5150178269882,1.93261583529148e-17,0.0993683159103674
"3T_Child_Adolescent_Lateralization",14,7,7,NA,NA,10,18,14,1140000,1670000,1340000,"Venkat/3T_Child_Adolescent_Lateralization/ASY_DescriptiveInfo.Rdata",NA,NA,NA,NA,NA,NA
"Cousijn",40,25,15,37,3,17.66,26.04,21.68,979900,1884780,1481670,"Vermont/Cousijn/ASY_DescriptiveInfo.Rdata",0.274307641710761,0.0259405585287615,39,1.73487385479082,0.0906609053918541,0.0475268545389798
"DStein",63,50,13,NA,NA,3,53,25,1170000,1860000,1600000,"Vermont/DStein/ASY_DescriptiveInfo.Rdata",0.386685098883284,0.0176190603745768,60,3.0201071682311,0.00370859347669369,0.0596588917918307
"EStein",230,113,117,NA,NA,18,55,29.5,856579,1829470,1409095,"Vermont/EStein/ASY_DescriptiveInfo.Rdata",0.445213180750233,0.00477872777459509,229,6.75199219135805,1.18671761296262e-10,0.0767495945282718
"Foxe",22,15,4,NA,NA,20,55,40,875116,1410000,1285000,"Vermont/Foxe/ASY_DescriptiveInfo.Rdata",0.330658908613394,0.052733382846135,19,1.47875159405088,0.15559487773667,0.044928204077406
"Garavan",15,11,4,NA,NA,19,33,22,1230000,1700000,1470000,"Vermont/Garavan/ASY_DescriptiveInfo.Rdata",NA,NA,NA,NA,NA,NA
