"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.585480704138288,0.0433849565725605,26,3.04224697925615,0.00531044080336031,0.0243661761337409
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.0747944457000452,0.0250699276138447,39,0.47304160948386,0.638820440662246,0.000130118220298969
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.0913239401755597,0.0196896084514626,50,0.652183382576288,0.517269989492874,0.00356875185221092
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.00112482599572587,0.0333333544205587,29,0.00616092571127271,0.995126510728201,0.000683996347906234
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.936723800249073,0.022836916491691,62,-7.43501466784317,3.78680508392243e-10,-0.0441080178926281
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.113775028998611,0.0103760039032146,96,1.12055408200254,0.265273148369772,0.00537501812353605
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.235583778316933,0.0171291643050507,59,1.8248241001162,0.0730914472738736,0.00656549068259444
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.380926091558449,0.00788641429128675,135,4.4423234307375,1.83692494087798e-05,0.0149732174642083
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.443776934770212,0.0228847704982713,47,3.07457679299675,0.00350582258874268,0.0193465392573358
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.0309022010828542,0.0232669179771135,42,0.202639283866435,0.840395445395952,0.00167527366761281
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.197677123275141,0.036412075804756,27,1.04600901614536,0.304831408973378,0.0108350625335101
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.405015325195349,0.0309148201949013,34,-2.39610297723372,0.0222181198085723,-0.0241610465009648
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-0.131312053734048,0.0325361750879976,30,-0.731114573190454,0.47038146347524,-0.00939004829051529
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-0.59207145536845,0.0510988827883068,22,-2.83947494970965,0.00953897455554474,-0.0255018838650302
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.275847795887238,0.0096115370671104,107,2.86669438579551,0.0049958144305597,0.0108972285972234
