"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-1.99431142471915,0.11069033442158,26,-10.3627461411859,1.00432696729516e-10,-0.307402071071494
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-1.81073118659502,0.0659843428763474,39,-11.4520695598792,4.80396917225661e-14,-0.298875262593679
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-1.48089638781495,0.0411083736416016,50,-10.5757155636681,2.36364260032255e-14,-0.299307729836986
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-1.85058273482518,0.0904109409738841,29,-10.1360590839335,4.85280198692866e-11,-0.273816560302356
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-1.62486742377315,0.0362515167565561,63,-12.9989393901852,1.71743789042522e-19,-0.294131281465097
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-1.81108657837404,0.0275001801789926,95,-17.744951988078,6.43220025753657e-32,-0.292078595009422
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-1.41052553436288,0.0321740506700782,61,-11.1064891640681,2.76406104583669e-16,-0.301814527804173
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-1.83641698936364,0.0197515711721449,135,-21.416118247712,2.98732036876171e-45,-0.322489339440949
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-1.98619441189598,0.0619267525192376,47,-13.7607585404529,4.21626049476785e-18,-0.33007945034218
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-1.38345147654834,0.0455109068367881,42,-9.07189800882056,1.89126198039832e-11,-0.252245651135842
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-1.60771376030141,0.0849026580567129,26,-8.35392575060896,7.78103415097551e-09,-0.28833214874075
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-1.74030001474053,0.0698422797403594,35,-10.4418000884432,2.70249240783988e-12,-0.288747901867428
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-1.69757943837442,0.0813629324931936,29,-9.29802551554621,3.35045419914647e-10,-0.310319813591046
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-1.2823246034433,0.0792251388825223,22,-6.14981275631287,3.44097740969705e-06,-0.250419422999375
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-1.64262310687012,0.0217509753297391,107,-17.0706400727142,2.55417150698778e-32,-0.280456077089406
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-1.53722587816274,0.0160406742665192,135,-17.9269802941566,1.5995665049065e-37,-0.310349312717695
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-2.08992450541632,0.0482407911995429,65,-16.978626944792,1.38860921979217e-25,-0.30873418719461
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-1.53339935308211,0.054391419700408,39,-9.69806903673642,6.05293992878328e-12,-0.286392969324651
