"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.235208328875357,0.038061536258747,26,1.22217832792647,0.232604986403173,0.0235415899926127
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.145563686104852,0.0252648598339054,39,0.920625585402272,0.362905802127641,0.00602185550453339
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.319029210689528,0.0206056827183645,50,2.27832427475378,0.027014283419401,0.0249986299348144
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.539788936825242,0.0381895349386488,29,2.95654576990916,0.00612714393601538,0.0576735548425972
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.379738141050494,0.0167515707481913,63,3.03790512840395,0.00346450054799439,0.0360236485863956
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.315651403986183,0.0107124275961145,97,3.12478947549559,0.00234714376370423,0.0280115023440631
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.388052985076665,0.0176277468789091,60,3.03079070092964,0.00359686333914066,0.035026435279968
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.375655188671719,0.00793006229917032,134,4.36471886892592,2.52314739408252e-05,0.0346591885555441
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.239694044671223,0.0223636221201179,45,1.6256841059502,0.111000886479974,0.01988179901249
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.446778968782526,0.0261858505588854,41,2.89545864618161,0.00604460374687112,0.0470325843871016
