"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-1.62443640192303,0.0828356004266544,27,-8.59570948025782,3.28270123374826e-09,-0.189511493714254
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-2.14509157618051,0.0805050959780559,40,-13.7352878629545,9.89125810120789e-17,-0.184808859729879
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-1.69170630919966,0.0476653944763326,50,-12.0811995292637,1.9131768750936e-16,-0.185332906015847
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-1.39141281997393,0.0656004939264634,29,-7.62108188301596,2.1090256684144e-08,-0.16026981649734
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-1.82846309851821,0.0430909459890549,61,-14.3973328350724,2.76670557827119e-21,-0.192986029819709
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-1.5550384807816,0.0223138620035936,98,-15.4724375259505,4.66843123211863e-28,-0.168692502572237
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-1.49721450677444,0.0342068651556115,61,-11.7890788154266,2.26906567153992e-17,-0.163011654270781
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-1.8956083962309,0.0208706387756011,133,-21.9432536263287,4.90235440921217e-46,-0.180161976937585
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-1.61028449422196,0.0488618739609752,46,-11.0395543007672,1.59708997696851e-14,-0.176223030146297
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-2.04532293666161,0.0754066575028545,40,-13.0964568691153,4.73828497523978e-16,-0.185386459453858
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-1.52775763868727,0.0773936321887017,27,-8.08413355109157,1.09936964505523e-08,-0.180933877808135
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-1.96677100454589,0.0978031364053742,29,-10.7724484463688,1.18836801578917e-11,-0.17000247876281
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-1.07322051908232,0.0492469106653018,31,-6.07105205401322,1.00262832435491e-06,-0.143463104216407
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-0.115192517716163,0.043766724263865,22,-0.552443907712935,0.586213811595993,-0.0114461750721241
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-1.70226974042273,0.0226746401349948,107,-17.6905060715955,1.51175638368663e-33,-0.174725851780749
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-1.78797873419737,0.0191061321836104,135,-20.8512359762225,4.80075380461919e-44,-0.165596268669117
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-1.55269182032853,0.0339296299147318,64,-12.5182016591635,7.32176787940627e-19,-0.147548449063321
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-2.20083713017202,0.087739539404408,38,-13.7442234727252,2.52192597377518e-16,-0.176354747998766
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",-1.75667288528978,0.0334598659599494,75,-15.3143191676723,8.60911514738116e-25,-0.173752185480306
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-1.76860040225544,0.0674729918797119,37,-10.90238508532,4.13416310210503e-13,-0.156155699574942
