"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.596549709810988,0.0420691349334924,27,-3.15664435369524,0.00390015879684787,-0.0306762742686486
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.0661832927702655,0.0250547528530239,39,-0.418579896407588,0.677819399464847,-0.000140676816196878
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.321279122873118,0.0202232718730204,51,-2.31677670251025,0.0245689687039985,-0.011840401807991
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.0316310797442163,0.0345000090552722,28,0.170338577450219,0.865968740823049,-0.00246708890782294
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.227079538323481,0.0157812701286554,64,1.83077376732854,0.0717904496543961,0.00504764213078944
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.0269823874834334,0.0103130311816201,96,0.265745697477298,0.791004931832012,0.00105299568770531
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.232438873864784,0.0168362936892093,60,-1.81540563927054,0.0744597963740673,-0.00687429015061116
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.0117343920009707,0.0074632003580434,133,-0.135835407956644,0.892156778730391,0.00114468837454933
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.319980405152623,0.0223658240391664,46,-2.19367513662277,0.0333499922787441,-0.0104417796748577
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.501648429942172,0.0268053708007553,41,-3.25105339621864,0.00230183006050129,-0.0198986805294271
