"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.389378246938975,0.0398447299849865,26,-2.02326872118122,0.0534393187137059,-0.0178091132426826
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.17483226492449,0.0253820790107328,39,-1.10573633129471,0.275615245583835,-0.00800450586721238
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.0406064162052029,0.0196240086376179,50,-0.289987815069079,0.773024813327052,-0.00129785246398445
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.0273790949586657,0.0344956830144958,28,0.1474409386226,0.883840573613277,0.000814318680669592
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.227329531621812,0.016028739968339,63,-1.81863625297449,0.0737206862174291,-0.00844439978503926
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.275949479013312,0.0107017944070501,96,-2.71778717928182,0.00779814065879307,-0.0190532804198453
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.090221561127222,0.0164601633614117,60,-0.704652918553678,0.483752580247802,-0.00166168339476761
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.455546247191461,0.00811589111518465,135,-5.31253650650143,4.34308363314194e-07,-0.0157866351372374
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.292917557404369,0.0221893691003802,46,-2.0081415999575,0.0505212511187381,-0.00959305835133799
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.326297215017803,0.0250770222920045,41,2.11464764114302,0.0405845252519174,0.0144446051523086
