"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.357127501904488,0.0379917866538668,27,1.88974111276204,0.069574517920209,0.0351571614412108
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.191213642763781,0.026109777656141,38,1.19412881632628,0.239828660591364,0.0188715796587513
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.309786275450974,0.0201535340044018,51,2.233900601147,0.0299019118864115,0.0284383474838922
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.155889223393938,0.0337383574995061,29,0.853840441248218,0.40019158764463,0.00870206789917673
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.343829853129661,0.0165485856867435,63,2.75063882503729,0.00775527933077834,0.0373723045324311
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.423163999937587,0.0111176927083836,97,4.18910987473849,6.17498357978698e-05,0.0455441375493314
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.252573566769985,0.016379312751039,62,2.00474053626584,0.0493625334414929,0.0194627089576593
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.429503791598327,0.00815102054849753,133,4.97186584067224,2.00685071674878e-06,0.0443415351248589
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.327995932705753,0.0224210779986332,46,2.24862682496703,0.0293691606097627,0.0307040787051374
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.0672860975258873,0.0238634216538127,41,0.436063750673058,0.665078018803325,0.00632517294976843
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.209799237385135,0.0365002807144176,27,1.11015321474415,0.276722588835983,0.0281228755947118
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.326032196055328,0.0300899570409237,34,1.9288324837225,0.0621339010883794,0.0225345152240694
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.134944159063795,0.0315345300947724,31,0.763359439644206,0.451019762284233,0.0118841126829708
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.397049874992929,0.0469054044180848,22,1.90418430681846,0.0700463856173427,0.0319722234998602
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.181040676825071,0.00949895199376299,106,1.87269932268502,0.0638655003673523,0.0161784161741831
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.111473275217534,0.00734462150032016,136,1.30476123448629,0.194177655205592,0.0091159517086968
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.40995271202982,0.0164247062583379,65,3.33047157661492,0.00143230769189813,0.0439049109023142
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.378148093946069,0.0261340973287201,40,2.42132922568511,0.0200923863874461,0.035002491868877
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.317360362258102,0.014004783996884,74,2.74842135869749,0.00751893102320651,0.0226034051733542
