"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.696372040373744,0.0460172966410054,26,-3.61845526469319,0.00125392717936252,-0.0309451984452329
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.27735002965105,0.0253283297432614,40,-1.77590669711136,0.0833562446609033,-0.014173819825561
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.472188553279799,0.0217937453906713,50,-3.37210075802488,0.00144647653617215,-0.0168021209856969
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.207612174815922,0.0340517135855299,29,-1.13713871359387,0.264789201411727,-0.00933231487742801
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.00641662480470785,0.0156253216646397,63,0.0513329984376628,0.95922258866242,-4.99514841684342e-05
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.673532609088696,0.0125186029362542,97,-6.66763265331639,1.59502561997364e-09,-0.0314525838365676
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-1.08090419776657,0.0259701138094212,60,-8.44213166029247,8.66130482411073e-12,-0.0374501140395612
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.881963989301088,0.0102883721423107,134,-10.2474955275533,1.49343646752457e-18,-0.0370677213436647
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-1.12784410445095,0.0340836700410914,47,-7.81393316770429,4.8345897918993e-10,-0.0476296976039382
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.857257978943612,0.0325582290769344,41,-5.55566667317473,1.85047298867434e-06,-0.0339683113620523
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-1.20541907092918,0.0639450951214772,26,-6.26354122578544,1.2519540367433e-06,-0.051338982673934
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.417815395130174,0.0310652814915398,34,-2.4718292121974,0.0186069265517064,-0.0178136613722192
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-1.08097974642725,0.0495080814404049,31,-6.11494487219217,8.85127927375391e-07,-0.0428080249924722
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.578051094476218,0.0507422406048946,22,2.77223566097446,0.0111135563973031,0.0188356667885233
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.508439982609342,0.0107548153138847,104,-5.20995946924328,9.61138801425173e-07,-0.0248492626409568
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-1.06483845615187,0.0115216210944849,135,-12.4180436272058,4.32156811863882e-24,-0.0352513375753464
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.793392721989071,0.0205427500883221,63,-6.34714177591257,2.70384689249684e-08,-0.0311756538859508
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-1.01582383807827,0.0378987258751009,39,-6.42463405964284,1.33321950178909e-07,-0.0374660617646374
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",-0.810421771943001,0.0174788384765739,75,-7.06509321108942,7.01012071952038e-10,-0.0330028040724346
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-0.876762500930837,0.0364304274084013,37,-5.40472703801615,4.01749154510047e-06,-0.0330253221013381
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",-0.590161028345065,0.0146768127461082,79,-5.27856070820298,1.11461353046579e-06,-0.0214304684809439
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-0.690763707757239,0.015879195512529,77,-6.10065988204991,3.95506665825122e-08,-0.0365834297859889
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.343828073983907,0.00511646798178619,206,-4.94682454743576,1.56387801988574e-06,-0.0186491972174727
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.442925860521677,0.0274522914739859,39,-2.80130910767711,0.00788111171902525,-0.0211616929777327
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-0.870233711309389,0.0127653088532376,107,-9.04373401468253,7.41430881914246e-15,-0.0305573449968754
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",-0.428392060091588,0.0119973613030193,90,-4.0865997969713,9.48964173031514e-05,-0.020477222502168
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",-0.348121964591023,0.0271947295157784,38,-2.17402097206946,0.0360002996130157,-0.0179484280275692
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",-1.51244007567292,0.0285831665500101,74,-13.0981152723441,5.84785381962496e-21,-0.0722001356162104
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",-0.403776895023151,0.00359308269261551,300,-7.00526730876956,1.62655632659191e-11,-0.015309000087597
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",-1.28183906242305,0.00479356760783369,379,-24.9876434491604,3.88053303854733e-82,-0.0584546717445854
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",-0.362534802500153,0.00276809283509588,384,-7.113446489865,5.57768512787889e-12,-0.0183317102447433
"Anna",165,92,73,NA,NA,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",-0.885343127615753,0.00859207547412482,161,-11.2685783258521,4.39603617514472e-22,-0.0378157228781278
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",-0.426992763567334,0.0363720470023145,29,-2.33873568497299,0.0264500484015188,-0.0138520533430539
"BIG",2326,973,1353,1995,103,17.39,82.66,22.47,1076480,2086070,1610760,"BIG/ASY_DescriptiveInfo.Rdata",-0.725427411925931,0.000544684115992573,2318,-34.9336799179341,3.58744084008721e-215,-0.0294688780452609
