"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.123528298924946,0.0359867721542016,27,0.653650317668511,0.518865682282309,0.00877576972460923
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.668715557069254,0.0313741089264929,38,4.17612731539536,0.00016687584475418,0.0278848952546422
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.121360444247476,0.0205584526268158,48,0.84952310973233,0.399807627984613,0.00580419337075548
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.763589813198522,0.0430511567136759,29,-4.18235365369986,0.000243323957988761,-0.0362580375330449
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",1.11852161961365,0.0258023064566916,62,8.87799012464072,1.20362669256098e-12,0.0379657922722479
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.483576634721038,0.0118821614981283,93,4.6884494233087,9.40756394995866e-06,0.0235458012976725
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.237384048262142,0.0168553375931912,60,1.8540286860048,0.0686522165813946,0.0107018344001754
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.833480120412851,0.00983463179242124,136,9.75563469098288,2.26826987948072e-17,0.0361624719359324
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.530849996703017,0.0242744863723361,46,3.63932422201991,0.00068983581838887,0.0232891524369662
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.157620381998111,0.0241052879145385,41,-1.02149682451375,0.313008907380349,-0.00716197373035895
