"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.039242855539257,0.0357417857448371,27,0.207653672985815,0.837057718624116,0.012714138322049
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.158856581282766,0.0259645565822673,38,0.992059032143283,0.327444093912619,0.017231109567994
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.111850054701081,0.0197304944582023,50,-0.798769160376374,0.428202294370938,-0.00520794149188492
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.246336411716962,0.0343446937956265,29,1.3492400943226,0.187700580405694,0.0221283941467916
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.0708934693529367,0.0156642647187257,63,0.567147754823493,0.572629175558267,0.00723855850904372
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.320823938924103,0.0108398350504473,96,-3.1597493538756,0.00211227775415399,-0.0384777850678868
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.11803722370492,0.0159835935411108,62,-0.936891418115148,0.352449662049192,-0.0140448282245684
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.253054758393637,0.00764458041016912,134,-2.94023059481129,0.00386431668566957,-0.0266793526865557
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.0828780259239414,0.0209048829914693,47,-0.574195806925108,0.568573358599445,-0.00402405442488243
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.239234224541721,0.0239213141185125,42,1.5687637203414,0.124207205039323,0.0158830587963147
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-0.0164870961509919,0.0357191397203481,27,-0.0872415125142697,0.93112335936754,-6.08136816337043e-05
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.305333816967972,0.0299032677112033,34,1.80637922166086,0.0797176613313046,0.0240600647361005
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.0391875800853821,0.0333589277738825,29,0.21463921586804,0.831550826777139,0.00494814336778038
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.766582468934452,0.0562532322103835,22,3.67640036973474,0.0013234864766325,0.0982795324678356
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.155397568601963,0.00954786983173303,105,-1.59991589113447,0.112621965010673,-0.0108774466102589
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.0530693966351446,0.0115104388555127,86,0.49499837853471,0.621863589460358,0.00364398719554953
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.273734071834766,0.0159610026314095,64,-2.20691464162316,0.0309138456068462,-0.0198893835926075
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-0.429832412854941,0.0266433646724476,40,-2.75227034078572,0.00885322584084178,-0.0298107672054993
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.0439833473969826,0.0133462302323216,74,0.380906961892631,0.704363636629038,-0.0017867635358425
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-0.0454068957843265,0.0263429182392733,37,-0.279906904204255,0.78110787790312,-0.00400536060853515
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.134597202197887,0.0126132275427469,79,1.20387397478304,0.232233139037476,0.0133447577915165
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-0.211797948995765,0.0132783011116806,76,-1.85851945976053,0.0669672190074775,-0.0205024314117155
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.0821912030976284,0.00489452535089423,204,-1.17679893892725,0.240647039269671,-0.00758168407510222
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.182367571762265,0.0254157241403808,39,1.15339379624593,0.255768733258794,0.0131096353381746
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",0.0510089484044521,0.0091862473065015,108,0.532549056039683,0.595439775366364,9.69186127105903e-05
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",-0.177296026785979,0.011040401527794,91,-1.70056374843659,0.0924401625356334,-0.0177013653055612
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.246885875444384,0.0278507112904586,36,1.50174815241297,0.141883520066385,0.020695240024641
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",-0.464081263781812,0.0147691427959555,74,-4.01906163855436,0.000139128253065135,-0.0538795502018524
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",-0.156477381536952,0.00337414195155444,299,-2.71026775057342,0.0071111676212369,-0.0159081591573908
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",-0.476265206667303,0.00294554040619292,377,-9.25965392425326,1.58036083108484e-18,-0.0403124005785825
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",-0.12445263387761,0.00261751747802477,384,-2.44193700992545,0.0150590966604084,-0.011896021784262
"Anna",165,92,73,NA,NA,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",0.223910079654198,0.00632757939435416,161,2.84991004259106,0.00494541391050577,0.0181435865623001
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",-0.0203271362778614,0.0333402198744876,29,-0.111336310688663,0.912116681583744,0.000246032422987015
