"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-1.13197458796802,0.0585958297822389,27,-5.9898465004164,2.17302966210186e-06,-0.100525719440248
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-1.23384306423834,0.0440296088396132,39,-7.80350871638919,1.73473774117053e-09,-0.112417799089962
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-1.12693021247547,0.040874646297375,39,-7.12733247095995,1.43387349057782e-08,-0.100936614379462
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-1.68468954166934,0.0930419009963471,25,-8.59026484731765,6.26434742478388e-09,-0.120753342515164
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-1.43066810846387,0.0337234269714633,59,-11.0819075160613,4.76444680709649e-16,-0.113274815752339
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-1.29575859202525,0.0206684849932992,88,-12.2241621088665,1.14782654958494e-20,-0.116301516514205
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-1.09902451601064,0.0271852109050206,58,-8.44176748795852,1.11831725085947e-11,-0.0960655506430889
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-1.21996057585507,0.0142963270763961,121,-13.4749049870549,7.70018180825225e-26,-0.107195058326333
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-1.04754978385763,0.0322641723922933,47,-7.25763779639682,3.32798126644704e-09,-0.111444776437185
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-1.35256361402594,0.0455884324998443,41,-8.76561406060355,6.0448937793965e-11,-0.11504441204497
