"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.133125151792071,0.036030755464994,27,-0.70443208977909,0.487195808674621,-0.00597556338472222
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.794566987472469,0.0328917087197634,39,-5.02528286798295,1.15633903590802e-05,-0.0337072282747716
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.426089053045456,0.0272693985140647,39,-2.69482378737589,0.010335933059607,-0.0224721579777052
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.251396952296863,0.0396769313004645,25,1.28187796541946,0.21164652618862,0.0115752609528063
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.04711812113141,0.0161469364301529,61,0.371008456797365,0.71191663874849,0.00142082858121414
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.268855417910232,0.0119096737686189,86,2.50771639332534,0.0140299681031541,0.0138926336244727
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.0602231396807061,0.0169798883606187,58,-0.462582713281753,0.645394310919988,-0.000751249637112734
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.266810110405022,0.00855862659096835,120,-2.93491121445524,0.00399913675926428,-0.00744153188852731
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.557974035647011,0.0240764065047522,47,-3.86575751617949,0.000338953861963356,-0.0240784953960433
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.769186862803258,0.0308529574989181,41,4.98490060644974,1.17743235204637e-05,0.0217809457994185
