"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.0954385928758732,0.0372057134261135,26,-0.49591347559168,0.624121660087088,-0.0213196642535451
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.155549093143811,0.0253024440047233,39,0.983778844616249,0.331288334922958,0.0320026997922242
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.394442809846942,0.0211331875513721,50,2.81688509567527,0.00692459411662624,0.0539915474674919
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.132829423194727,0.0347869595804525,28,0.71530833514022,0.480341156800462,0.0183933722993092
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.407293749201269,0.0177531819519543,60,3.18106587269802,0.00232363402922556,0.0433240835848836
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.410745105176532,0.0112953726115963,95,4.02446368811325,0.000114725801740867,0.0469355888612593
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.211796387159618,0.016490787980757,61,1.66768642018209,0.100504278912684,0.0379429684022408
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.339773337987959,0.00777737471032162,135,3.9624039779176,0.000119638332188812,0.0338492544083179
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.0246990835091981,0.0217457613557195,45,0.167517334640149,0.867713573978159,0.0173606170049512
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.443856534660157,0.025546611899541,42,2.9105619396437,0.00574999306917919,0.0535374508094493
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.345184797373906,0.0392435656358901,26,1.79363282115592,0.0845118894876776,0.0578584860384739
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.159067340863787,0.0297838591019041,33,-0.927514012617703,0.360394265087276,-0.0235380885959396
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.878779921132078,0.0433164710903891,31,4.97112993122457,2.33300678416754e-05,0.114989930272709
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.413816508684007,0.0493464568831687,21,1.94097147400658,0.0658028654919001,0.0241459895070585
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.29381338386722,0.00984116181386559,105,3.02499393076873,0.00312635570921098,0.031864438319186
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.245161736126974,0.011705137936709,87,2.29982094167126,0.0238521348483782,0.0268012995517495
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.390773442214075,0.0173605151866116,61,3.07695316094833,0.00313001125053354,0.0466086141630257
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.0072035761646918,0.0243908767257263,40,0.0461253931363317,0.963439825287348,-0.00563462427604674
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.487540414612262,0.014917971039202,74,4.22222384425817,6.79612255590566e-05,0.0456314687450935
