"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.646236194710698,0.0447707633213734,26,3.35794176878671,0.00242881619456246,0.0451776173396444
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.351459218268745,0.0272246613090523,38,2.19486211460698,0.0343550125743052,0.0298069193407452
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.304306249962619,0.0209260229376631,49,2.15177012906016,0.0363702687424675,0.0231506533222674
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.32593228096007,0.0351038641961972,29,1.78520462500942,0.0846922198177403,0.0168212373690316
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.258213390520931,0.016666727056809,61,2.03317427013709,0.0463925911342235,0.0162639270940675
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.232415397983882,0.0106980047771875,95,2.27719653370556,0.0250177602239284,0.017272984171569
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.0566771967950172,0.0161549379406173,61,-0.446276693840883,0.65697760697204,-0.00507974651630647
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.210092479257387,0.00751521635970778,135,-2.45007828003722,0.0155627408627444,-0.0164877461992167
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.682503548350402,0.0268022944946836,45,4.62896427956631,3.12910745298269e-05,0.0411572322660491
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.0129654435539847,0.0232577686363553,42,0.0850200990455621,0.932649402937577,0.00646163713370783
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.00954537666689607,0.037038724337328,26,0.0495992320933394,0.960820827897386,-0.00230241866187566
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.37752341638813,0.0306074847131624,34,2.23345865134052,0.0322057839238002,0.0338763122201499
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.174295197322481,0.0317246689970263,31,0.985962527639789,0.331784870453583,0.0124069856211899
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.333489056229331,0.0479821579687439,21,1.5642023250667,0.13271533340934,0.0314239319357783
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.253387002831302,0.00973681591133882,105,2.60877886368431,0.0104115187636347,0.0231712375714782
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.09518806319158,0.0111614487076342,89,0.903033257236288,0.368945883103541,0.0148843753160179
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.054271663085858,0.0154072724108777,64,0.437552136227007,0.663184042778418,0.00764928899192436
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-0.0578485941619483,0.0250418307480814,39,-0.365866633980952,0.716441735654748,-0.00831653175801796
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.123300183154459,0.0130857333452333,76,1.08195471613931,0.282693720894199,0.00701434579032764
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.038691328150263,0.0263354870904478,37,0.238509365042949,0.812802124210091,5.62796489432979e-05
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.0293242711888525,0.0126636703346883,78,0.260639823472607,0.795057147373438,-0.00174010458602478
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",0.305848996491321,0.0135944390172386,76,2.68381405213096,0.00892940468297196,0.019023300813986
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",0.126575780609963,0.00486961697641793,206,1.82110835621153,0.0700410664848978,0.0144638522955223
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.158423333178115,0.0253137244061908,39,1.00195713471713,0.322540735666054,0.0163333136017016
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-0.129635259785491,0.0091672968208166,109,-1.35962607497859,0.17675423600714,-0.00986161819892922
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",0.207205726112683,0.0109835172738381,92,1.99821965830867,0.048645245805095,0.0257354195251421
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.470690317711693,0.028481402245994,38,2.93946009197503,0.00556666705142169,0.0341302239957397
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",0.0793540615743264,0.0130279030330412,76,0.696329064309635,0.488346968593474,0.00294432985522345
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",0.14382221932775,0.0033344634171161,302,2.50349829718833,0.0128248638264963,0.0108130648497445
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",0.128483992615327,0.00266030097144904,378,2.50131638938864,0.012795418960132,0.0084076390892866
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",-0.0921468847104125,0.00260842993293745,384,-1.80805243820695,0.0713805805655609,-0.00813278917553275
"Anna",165,92,73,NA,NA,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",0.221975300213072,0.00632491677131075,161,2.8252843206585,0.00532210528260031,0.0226187240735752
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",-0.3018722246911,0.0348521140006659,29,-1.65342226947583,0.109031491713614,-0.0402554920799242
"BIG",2326,973,1353,1995,103,17.39,82.66,22.47,1076480,2086070,1610760,"BIG/ASY_DescriptiveInfo.Rdata",0.145996687862737,0.000434504521252556,2325,7.04121910242712,2.49899726426505e-12,0.0116395605447406
"BILGIN",453,221,232,248,205,18.08,57.18,24.03,1111532,1835334,1396760,"BILGIN/ASY_DescriptiveInfo.Rdata",0.341484597571906,0.00234657619775925,450,7.25202664093698,1.8059605254754e-12,0.0227711490199176
"CAMH_ASD",146,77,69,139,6,18,86,40,1123430,1833770,1471570,"CAMH_ASD/ASY_DescriptiveInfo.Rdata",0.133156385388189,0.0070060091075335,143,1.59787662465826,0.11227778313581,0.0102132098243661
"Christoph",85,44,41,NA,NA,21,75,35,1240000,1930000,1570000,"Christoph/ASY_DescriptiveInfo.Rdata",-0.00215533144764612,0.0119047895562717,83,-0.0197539390131142,0.984287072690059,-0.00700938119741228
"ClarissaBr",398,149,249,110,5,18,55,32,811432,1900000,1330000,"ClarissaBr/ASY_DescriptiveInfo.Rdata",0.296135122474114,0.00263597981156914,395,5.89301453095547,8.13244160784154e-09,0.0227627600113639
"Colm_UCSF",88,46,42,NA,NA,13,17,15,1230000,1810000,1560000,"Colm_UCSF/ASY_DescriptiveInfo.Rdata",0.102868061320546,0.0118269519884697,84,0.948396664580305,0.345648100815639,0.00484300512371578
