"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",1.035330928125,0.0568872246431884,26,5.37973731047982,1.23703678831192e-05,0.171249825864262
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.886394904463763,0.0348211990832415,39,5.60605360894569,1.82503551820288e-06,0.154712586767851
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",1.13048492080768,0.0327799615617355,49,7.9937355353225,1.95314042744213e-10,0.169289895369541
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.800637340371505,0.0440170025132859,29,4.38527131702415,0.000139353638847327,0.0996518971527343
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",1.1335782175735,0.0260714252012469,62,8.99749816601802,7.50552648104665e-13,0.188215502134692
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",1.08275230595771,0.0163523327631791,96,10.6638734959443,5.61560598936573e-18,0.172538531356538
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",1.3247377452549,0.031291084114192,59,10.2613744509292,9.6946073657784e-15,0.185340209297313
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",1.10061723026469,0.011982680177446,133,12.7405655499448,8.47269875962193e-25,0.187600312034586
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",1.19868804923884,0.0365622663764682,46,8.21779123920999,1.41494476497258e-10,0.176317891382514
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",1.20518632895787,0.0411008819941304,41,7.81050009124204,1.21171650250223e-09,0.165208509824651
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",1.06197233335913,0.0558533078003612,27,5.61942938659847,5.79937076125467e-06,0.180303546155763
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.74503376908949,0.0354871571817179,35,4.47020261453694,7.85551130148573e-05,0.123174408907966
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",1.37632655738558,0.0628108837510459,30,7.66306195782797,1.51005907377055e-08,0.196355066254818
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.926938601261554,0.0621568515327984,22,4.44544136410556,0.000203226574076598,0.129978724710984
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",1.22534917654641,0.0163620588993597,106,12.6751104404474,5.77103382980181e-23,0.179698703488311
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",1.24294615178679,0.0131293153194133,134,14.4417292383085,4.28218428303793e-29,0.182118048470216
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",1.10930141632236,0.0248503817865754,64,8.94347393894351,7.09945550579836e-13,0.176315798981929
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",1.27246754219289,0.0452396705741803,39,8.04779136393191,8.17363154126881e-10,0.211983355622411
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.915448177516134,0.0189203024381174,74,7.92801377577138,1.77192382589221e-11,0.196121088787408
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",1.40211594240279,0.0535936367018928,36,8.52873831758148,3.63974815677196e-10,0.185581764111664
