"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-1.13881898294155,0.0610538643686673,26,-5.91747701723605,3.04661877011731e-06,-0.162045316153992
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.912631867975733,0.035411211580561,39,-5.7719907361148,1.07390050586885e-06,-0.146235511668001
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.813624315518626,0.026097887517678,50,-5.81043981699843,4.3067782317005e-07,-0.116686932792888
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-1.11745862962618,0.056012306705621,28,-6.01769888569165,1.74499071552564e-06,-0.179933368285334
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.962621303591919,0.0232272997946746,62,-7.64056972811107,1.66475429604384e-10,-0.135370090569668
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-1.06275501221664,0.0161311763710907,96,-10.4669229934678,1.48197680985099e-17,-0.155834060358203
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.725591860062628,0.0207088815359766,60,-5.66705358989465,4.38704397117993e-07,-0.104242113700926
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-1.14034316372751,0.0123148601905227,133,-13.2004264765215,5.99431478827439e-26,-0.175155290047147
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-1.26085028055307,0.038188759893306,46,-8.64395402629062,3.38566054335271e-11,-0.168655086417938
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-1.44349441034603,0.04861519181786,41,-9.35491297305379,1.00064179232367e-11,-0.180465091518727
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-1.20858390115468,0.0640865749283383,26,-6.27998616602913,1.2004905041496e-06,-0.144377008755016
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-1.16323173097123,0.0479015437134045,34,-6.88177172665885,6.31666463225673e-08,-0.151444190869043
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-0.925135745049706,0.0446230647932605,31,-5.23335807074173,1.09994457418893e-05,-0.108856462208659
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-1.56539255520964,0.0967489967805601,22,-7.50735896263344,1.66771393225535e-07,-0.200684156273271
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.892371267288445,0.0130669461620653,106,-9.23076016474117,3.02291956550489e-15,-0.130210923694304
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.977282169700919,0.011026419549311,133,-11.3128590044628,3.32900912310561e-21,-0.147762769358285
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.977978055264231,0.0230971959107688,63,-7.82382444211385,7.25484447602481e-11,-0.120471643773294
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-1.01742860308756,0.0370141580778135,40,-6.51472174828742,8.94068588542455e-08,-0.164014078472369
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",-1.18403130588093,0.0226795342220407,74,-10.2540118976895,7.42423433848726e-16,-0.163552869061413
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-1.49047592607029,0.0555462958709881,37,-9.18791066975586,4.3811325843533e-11,-0.181099788235107
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",-1.22519747852544,0.0216117830949697,80,-11.0267773067289,1.00059934095893e-17,-0.172481771657393
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-1.1026456313636,0.0203533379010458,78,-9.80052874496339,3.05246788728521e-15,-0.182482540037358
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.90035584925918,0.00678898709008507,206,-12.9538648922285,1.82825772299888e-28,-0.13791961279142
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.829607078834051,0.0344647167339945,38,-5.18089454677579,7.53559453905177e-06,-0.113705157449128
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-1.07298503251687,0.0144554902752534,108,-11.2022926189495,8.58964272924839e-20,-0.153879895090016
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",-1.08535884221504,0.0170860420235182,92,-10.4668216246775,2.39688978688657e-17,-0.146450049633549
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",-1.06478798080001,0.0401765826161047,38,-6.64959880881474,7.35495480041961e-08,-0.148975547471394
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",-0.900998736816029,0.0184986758141058,75,-7.85472488407774,2.25407959835781e-11,-0.135965474911445
