"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.946723484485684,0.0517193813585128,27,-5.00958980058727,2.96808703939425e-05,-0.109702121378588
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.946603325713931,0.0371289468750343,38,-5.91153587436076,7.52827679169643e-07,-0.0731565839454525
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.95317853980468,0.0279668204686941,51,-6.87346819987533,8.62434525287761e-09,-0.0891024060750908
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-1.06975556704724,0.0524062828871429,29,-5.85929255088506,2.34478363792176e-06,-0.10580028943392
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.921593955366154,0.021917964758211,64,-7.43012800743588,3.25915569349439e-10,-0.0852040631859823
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-1.28713269490783,0.0188490235788696,96,-12.6767868841899,3.20089384759047e-22,-0.125026389224629
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-1.07772300663521,0.0259138268773019,60,-8.41728576328978,9.54505988123178e-12,-0.104395169913718
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-1.17311554014568,0.0124125002593063,135,-13.6807605633699,2.844737453299e-27,-0.110975386000345
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-1.08107498469621,0.0337098204525098,46,-7.41147669221109,2.20793808403105e-09,-0.0892690694326233
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.925276687218682,0.0332108947431439,42,-6.06744499440632,3.17661734785639e-07,-0.112880307395401
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-0.517229730915528,0.0419912332322769,26,-2.68760451939262,0.0123837127880961,-0.0491556532930472
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.894512748582746,0.040002186533958,34,-5.29200878761525,7.17487745271751e-06,-0.0848949351355213
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-0.837918473755521,0.0422204276353247,31,-4.73998267899209,4.51956806345418e-05,-0.100736552402241
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.0355111374226663,0.0454832054745694,21,0.16656199861653,0.869308019147378,-0.000813138330232479
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.995432234793885,0.0139760996919007,106,-10.2968311020985,1.19548672593425e-17,-0.0924897715350289
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.993113749152576,0.0110602774768736,134,-11.5389390340726,8.11649095713653e-22,-0.10760478406154
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.948865768904735,0.0219723200560543,65,-7.70862194742649,9.61358506182913e-11,-0.105070834932198
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",-1.013664521254,0.0378439470206137,39,-6.4109773409336,1.39259633321612e-07,-0.0984539461421623
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",-1.39299763535414,0.0266246108925825,73,-11.9830187555375,6.53781209762463e-19,-0.0989283987565606
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-1.47449963720522,0.0549230155278725,37,-9.0894262109605,5.79329732788712e-11,-0.117313490713572
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",-1.01947690470176,0.0192362858178499,78,-9.0613089329524,8.20639738036042e-14,-0.109526289671741
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-1.05965187229175,0.0200183467336629,77,-9.35859193763733,2.44683535113262e-14,-0.108790830995312
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.781701500841447,0.0063375175641208,205,-11.2195272049254,4.37401219608368e-23,-0.0990488968539716
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.882305681530112,0.0347307914457539,39,-5.58019109228462,1.98215615625214e-06,-0.0976165351420059
