"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.0740001130997727,0.0385668464757458,25,0.377328020703814,0.709114140580187,0.00427164893698907
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.226344646663059,0.0262978448599106,38,-1.413521865359,0.165642411798191,-0.00943065804062249
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.3842160308488,0.0210551172388353,50,-2.74385128540551,0.00840957865915872,-0.0316372768219909
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.36432037843216,0.0355454889690159,29,1.99546489426113,0.0554622412210375,0.0275192812545703
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.0462109828591685,0.0156416832416938,63,-0.369687862873348,0.71285488075956,-0.00185926798125828
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.0439650559245148,0.0104267339903252,95,0.430767814111951,0.667612993463251,0.00156856653486965
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.0710791602174923,0.0161697761856228,61,-0.559677867230681,0.577748606287179,-0.00115782081206392
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.163700258595304,0.00761954050625628,132,-1.88788347901414,0.0612367001768935,-0.00978992104738624
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.221432142890422,0.0222720890641853,45,1.50182586195339,0.140127279216724,0.0129096713369342
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.0914630658367793,0.0233530871210728,42,0.599763431468867,0.551886111010049,0.00182513402894479
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.542002694455673,0.0409601235856645,27,2.86800867891328,0.00792028904604505,0.0507661518794401
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.157637303291438,0.0297771988145441,33,-0.919175532325516,0.364674003515103,-0.0131963425101998
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.44384418838306,0.0354354461864745,30,2.47121985472842,0.019365664032166,0.04450283493736
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.339832826646253,0.0480792352287814,21,1.59395724580693,0.125886561916795,0.0321582474613958
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.341516982538995,0.00979923078408583,107,3.54914859243091,0.000575531592765158,0.0273575936213033
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.343621728874023,0.0079032682557999,133,-3.97770908970049,0.000113722540184533,-0.0220163891417197
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.0906669109451342,0.0152137915813662,65,-0.736581466547979,0.464027153064391,-0.00360438062172092
