"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.713611156126437,0.044807872895502,27,3.77607530382368,0.000797878212080046,0.049188798469492
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.445541122030762,0.0281859857874414,38,2.78240341528629,0.00835613416293102,0.0286920098839792
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.545630929095845,0.0234460521508775,48,3.81941650367092,0.000383938630854338,0.0384388457923953
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.132044408499109,0.0403487145163176,24,-0.660222042495547,0.515398441341359,-0.0104446357449616
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.44696847735337,0.0177401679011902,61,3.5194333101155,0.000824109438074875,0.0363863289409427
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.616583539520055,0.0121437513326892,97,6.10386562747689,2.1305552447352e-08,0.0399081892022799
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.969259576696029,0.02370535586304,61,7.63195753886589,1.89264644624364e-10,0.0625028257716072
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.419312819293867,0.00811874343441855,133,4.85389680739495,3.33934926032846e-06,0.0395671287358135
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.165579841421514,0.0220371378683171,45,-1.12301712307426,0.267386151422752,-0.00625106612583257
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.455345322019012,0.0269187727107878,40,2.9156326678216,0.00579190719404768,0.04150769182092
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.211690907123548,0.0378669081510887,26,1.09997821991499,0.281422325984267,0.0205314200734432
