"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.538000601195565,0.0408829401229784,27,2.84683159193341,0.0083346649190348,0.023514247797746
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.299997105588816,0.0267948495302778,38,1.87348132392747,0.0687081588389812,0.0158832661641878
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.358473332538521,0.0212850313014127,49,2.53478924312528,0.0144953293322778,0.020003127237087
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.0484169480799098,0.0400468840172275,24,-0.242084740399549,0.810771169968032,-0.000180171520968912
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.0851989250397728,0.0156817098189682,63,0.681591400318183,0.497995393699028,0.00488222733839013
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.388051099040866,0.0109723655891164,97,3.84150989010164,0.000218241979983899,0.0162957456042668
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.0406406732310452,0.0164069808550875,60,0.317413804931399,0.752031601503368,0.00144696808400697
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.154613222851775,0.00766630776015384,131,1.77637068931033,0.0779931405026356,0.00804457690919054
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.316943619039718,0.0228310136701086,45,2.14961621037331,0.0369983902046588,0.0178506722320671
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.575262434918835,0.0271038008026598,42,3.77224805232054,0.000500656707460772,0.0248309932253383
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.169024269276971,0.0362244500643681,27,0.894392364082561,0.379015927075313,0.00821172429998333
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.401339183330209,0.0317804873540612,33,2.34018947151495,0.0254704436929932,0.0167911895686983
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.42329998281329,0.0340497324289021,31,2.39454630658741,0.0228733829410481,0.0205763054978196
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-0.395478044060863,0.0468783235507436,22,-1.89664607048514,0.0710818177643894,-0.0138474548937394
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.317086531409901,0.00981562555327833,106,3.27996858505796,0.00140534734627969,0.0137880357607125
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.00812099905263722,0.00729951076870662,136,0.095053856886357,0.924411959265054,0.000342788103084516
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.210810394035853,0.0167577132969963,60,1.64648181169628,0.104893162613489,0.00860716877418844
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.340092448464341,0.0258007667500301,40,2.1776541997299,0.0353881981742425,0.0172873920332481
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.0908710785753195,0.0133883836861429,74,0.786966625155186,0.433814602537779,0.00439295742450278
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.111512730443438,0.0264794090664599,37,0.687410637054833,0.49611064855052,0.00181887143728347
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.38699250698739,0.0136060962054708,78,3.43966464014829,0.000938078326339485,0.0113433099335866
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",0.162958037397675,0.0140733008468924,71,1.38274479951296,0.171076817608933,0.0114518475048263
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",0.359828842462769,0.00516863299967985,205,5.16451546118587,5.69208971369541e-07,0.0151064948430068
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.196961710784378,0.026826235730462,37,1.21415352800794,0.23238203968419,0.00475520402736308
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",0.041381413768363,0.00918216707066729,108,0.432034643513761,0.666577575507348,0.000844605663546964
