"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.149815056422281,0.0374526768727928,26,-0.778461868386567,0.443324161054131,-0.0292157452084286
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.152313178513434,0.0246731622481569,40,-0.975280205019804,0.335282829913105,-0.0443954684443659
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.0203614143242606,0.0196119077175812,50,-0.145409583100614,0.884972112425163,0.00240577952220484
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.131852874740132,0.0347825031134006,28,0.71004946077007,0.483545573703574,0.0189513314358408
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.079890794751659,0.0159236709451274,62,-0.634113524868581,0.528339483072453,-0.0151134813368582
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.166524214333807,0.0103455628263239,97,-1.64850561662076,0.102484304035622,-0.0261542090930004
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.216723087534907,0.0170580741389222,59,-1.6787298175227,0.0984941032766597,-0.0258383598263981
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.294893938419442,0.00778717326461392,133,-3.41364413476493,0.000849958496742383,-0.0440822434504939
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.230978335831691,0.0223190325176476,45,-1.56657129256365,0.124220851744942,-0.0302957808532796
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.362664433347226,0.0259942133075008,40,-2.32218542322047,0.0253976140931017,-0.0514569115636997
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-0.299817477592549,0.0387016762938881,26,-1.55789731256232,0.131347899374009,-0.0361417229002183
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.337430115161437,0.0301979868945409,34,-1.99626348251555,0.0539638464123633,-0.0420121696146847
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.1462113294044,0.0326028669813904,30,0.814070229299819,0.422019691640239,0.014489469895584
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.740530832323358,0.0579178616732165,21,3.47339748656464,0.00227033264165228,0.0853642697670293
