"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.410224181678044,0.0387193549863111,27,2.17070233301017,0.0389158577408765,0.02263168628556
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.45592710398525,0.0283060195403638,38,2.84726385180346,0.00707500578456383,0.0301455768582759
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.175979674927195,0.0195285465960335,51,1.26900748277897,0.210199551438064,0.00732348960180901
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.253679670405454,0.0368634531281611,27,-1.34234664113133,0.19066233665406,-0.0141105860586637
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.785516258629455,0.0207701253378668,62,6.2348420133943,4.44532189610851e-08,0.0347756281815437
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.244147691512498,0.0107271254962025,95,2.39214906433622,0.0187184564717837,0.0144853006779812
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.672971707386999,0.0197813783785756,61,5.2989845229524,1.69306199915878e-06,0.0314740870202598
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.754263249208663,0.00944453326877503,135,8.79614544437085,5.86540494268344e-15,0.0471032317310764
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.297749553739165,0.0227027695299116,45,2.0194357257873,0.0494217674386374,0.0203539333947499
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.112936744201478,0.0239613655737004,41,-0.731913754492199,0.468384447284227,-0.00430168566272577
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.126621631081253,0.0373339451381051,26,0.65794529510992,0.516356958906538,0.00535675605123124
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.246199198953746,0.0286196395217426,35,1.47719519372248,0.14856572317188,0.0169048416831147
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-0.535055999588498,0.0357232019171195,31,-3.02673380498859,0.00494165351296063,-0.0458949121178607
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-1.25888759723097,0.0779303909230861,22,-6.03741282310768,4.46655943468239e-06,-0.0634939170102985
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.202243573470641,0.00962689841042535,105,2.08222503084525,0.0397523655883049,0.0127134656356182
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.733298682256291,0.00946913043805527,133,8.48854594682982,3.60783483364738e-14,0.0412209126492767
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.184596379473551,0.0156467371024211,64,1.48826359071849,0.141592450018249,0.0152120092383469
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.462495859626984,0.0283833643611808,38,2.88828571763806,0.00636198944045421,0.0286337885422316
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.642722020149939,0.0160872773012375,74,5.56613597021501,3.96705603826085e-07,0.0366264351745851
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.806107894087296,0.0339719222680751,38,5.03414218506831,1.19328555776795e-05,0.0415691028915404
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",0.571940766265136,0.0147285837982022,78,5.08352072575298,2.48047635659373e-06,0.0271328546649648
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",0.18181150854135,0.0135537028309205,74,1.5745338509718,0.119630037663844,0.0123792149042884
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",0.132797482635016,0.00487351490674927,206,1.91062306031275,0.0574416279241487,0.0134120388821393
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.374111373310829,0.0267494914955064,39,2.3660880764715,0.0230410176989089,0.0185100228166941
