"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.890080951258281,0.0517082240702379,26,4.62499629128574,9.04521152755245e-05,0.146585476148683
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.828594295058985,0.0335821063225537,39,5.24049045721599,5.84864839741891e-06,0.152999688186798
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.673115323919901,0.0250314718295489,48,4.71180726743931,2.13515722592054e-05,0.153771698353826
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.649778680849856,0.0403702055681163,29,3.55898440887416,0.00130502496099869,0.14323341393255
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",1.13864032598,0.0261627126345066,62,9.03767740587778,6.40494479995984e-13,0.203514514154986
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",1.05443584159239,0.015876708898136,97,10.4383822748258,1.52001248625193e-17,0.209796365692272
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.793477187492242,0.0212065003796016,61,6.24784562216266,4.46167702044267e-08,0.154903903158163
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",1.06237809578619,0.0115023794794349,135,12.3893511413332,5.10899944283143e-24,0.196601680939115
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",1.43365905894815,0.0431423223117457,46,9.82867132288452,7.0314616212471e-13,0.288243062175499
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",1.39577762608342,0.0470023235889889,41,9.04567286728594,2.55812479457369e-11,0.229247821287661
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",1.33455723257985,0.0675186251255571,27,7.06181309557776,1.36196937708019e-07,0.235926564144743
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",1.24153052155263,0.0553343443116679,31,7.02315720671949,6.94480309807203e-08,0.228361220729611
