"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.288241089865644,0.0385756097386469,26,1.49774463742897,0.146242931136308,0.0203554277797604
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.279269553084506,0.0253413595521954,40,1.78819764413244,0.0813209031279209,0.0146806161376336
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.401622794707584,0.0216130086922873,49,-2.83990201616825,0.0065537408722394,-0.0311630820945406
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.328396915441192,0.0351307422345215,29,-1.79870398402257,0.0824821635113104,-0.0344150371154833
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.22137071076205,0.0165242338030911,61,1.74307471961597,0.0863593825837704,0.022680172501746
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.703068079247584,0.0129911704377963,95,6.88863219438091,6.08865445301124e-10,0.0580459081776681
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.567523803900986,0.0190334694097889,60,4.43250260548699,4.02841809059722e-05,0.038724119833762
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.692280871227175,0.00925094330099648,133,8.01373045624731,4.99257125674237e-13,0.0528235668594589
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.605631855678613,0.0257259776588339,45,4.10759509350485,0.000166623152353222,0.0630175302437796
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.16920840904738,0.0241503748296708,41,-1.0965958230262,0.279217425777041,-0.0181366404102349
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.435457257490328,0.0405485745018703,26,2.26270228349355,0.0322377359911885,0.0320257207196192
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.185871410811529,0.0308264875963192,32,1.06774996360723,0.293622599973141,0.0194861637507592
