"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.266670676204283,0.0369841651704866,27,-1.41108858237992,0.169637982473307,-0.0209591145862774
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.532323815702823,0.0285421080595552,39,-3.36671142074526,0.00172043928281045,-0.0376556356896833
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.638832855589002,0.0236088962488235,50,-4.56217911599051,3.30604277676382e-05,-0.0497914208366177
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.396990529448935,0.0372000255253818,28,-2.1378594279541,0.0413977673179529,-0.0283774601665153
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.490769293341821,0.0177845595181526,62,-3.8953605038681,0.000242874675405002,-0.0290925869548422
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.391089040425881,0.0108734880683901,98,-3.89128682013835,0.000181882566273659,-0.0284398185031011
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.415495179983526,0.0175212600370124,61,-3.27161231880424,0.00176213907686227,-0.0320072918958426
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.544135588041433,0.00850401310434517,134,-6.32228421168975,3.55504248226433e-09,-0.0398480003928537
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.542492753247844,0.0244074296524088,46,-3.71914293948781,0.000541937215817355,-0.0586218801718573
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.423982342265825,0.0253460584482932,42,-2.78023814479772,0.00809459662514384,-0.0441224476684537
