"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",1.10650841916067,0.0597103866976565,26,5.74958640296701,4.70806633045527e-06,0.0504608762163491
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.174109371026833,0.02475992772048,40,1.1148439335861,0.271570918401815,0.00449611520851184
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.121095244898854,0.0201466405833711,49,0.856272688374255,0.396015134628462,0.00611791975850881
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.33598896014386,0.0364291134713543,28,-1.80935592375243,0.0811444590157623,-0.0151562883809702
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.833783046308104,0.0210562044399283,63,-6.67026437046483,7.4801263351976e-09,-0.036080622189939
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.28145407284276,0.0105010929046453,98,2.80043266601037,0.00614842540764077,0.0112074761069542
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.94174370579268,0.0229117556142867,62,7.47485893286343,3.22923127934963e-10,0.0342388632787584
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",1.08914430795954,0.0117141004542672,135,12.7014961325133,8.284357065471e-25,0.0321489719365373
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",1.20330192258398,0.0366801650733435,46,8.24942236123425,1.27170502393895e-10,0.0623084889716552
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.22000849255743,0.0243857587713975,41,1.4258179917123,0.161490668557004,0.0129078939428683
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.791233542191136,0.0468937592551488,27,4.18681436322096,0.000269536825770943,0.0460016956147431
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.28952944779716,0.0297689614448818,34,1.71287931272477,0.0958414270998333,0.0243254616339769
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.144982140601818,0.0325970938886046,30,0.807226395689616,0.425890106581468,0.00335325337349927
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-1.19217148019352,0.0743754964823218,22,-5.71745356590645,9.45774474882681e-06,-0.0521582893086885
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.41245647769172,0.0101407492803265,106,4.26648298026783,4.33085791806487e-05,0.0160126376549436
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",0.323811015872446,0.00768194735036622,136,3.79011076857225,0.000225449388036824,0.00974412061467576
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",0.0161415294649825,0.0153866196074882,64,0.130137170998444,0.896866072876082,-0.00199720053257574
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",1.04189298705798,0.0376285487375682,40,6.67137023824225,5.39377009480292e-08,0.0618518903762364
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",1.12702959573105,0.0218013047310247,74,9.7603626072,6.17958733226165e-15,0.0295081508168721
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.790967609890614,0.0336619199986676,38,4.93959114056485,1.6030785933992e-05,0.0217247577752379
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",1.30712088476412,0.0228923765888058,80,11.7640879628771,3.97263805748603e-19,0.0406892024615225
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-0.0807145594081761,0.0128622746160286,77,-0.712851687124024,0.478092294134049,-0.00726117565595464
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",0.0154671458740156,0.00480826738606127,207,0.223070350135377,0.823700723813092,0.00157925640479448
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",0.248170126494001,0.026430620662616,38,1.54982194321732,0.129473592438963,0.00914296447905095
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",0.128085754439781,0.00908290973193877,110,1.34946715945045,0.179957839085989,0.00225153034153992
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",0.342096356747132,0.011260797432445,93,3.31674723579717,0.00130030048913064,0.0166614245336284
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.541250520676067,0.0293968221298989,38,3.38010841825413,0.00168774808889337,0.0196973649369996
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",1.94324080836593,0.0385078989286577,74,16.828959057155,5.22407532096378e-27,0.103015733914905
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",0.652356357291066,0.0040561351453145,298,11.2802959292974,8.2055612277685e-25,0.0240569029707749
"TOP3T_0",380,204,176,277,42,12.5,78,31.1,1080887,2023835,1546874,"Aldo/TOP3T_0/ASY_DescriptiveInfo.Rdata",1.48658081645352,0.00558345162314009,376,28.8641783442826,2.10902826684872e-97,0.0820153065706766
"TOP3T_GE750",386,178,208,275,23,12.01,88,42,1190360,1981293,1545960,"Aldo/TOP3T_GE750/ASY_DescriptiveInfo.Rdata",0.47579428973535,0.00289893256008433,383,9.32362585905238,9.11729700275634e-19,0.0227150249301669
"Anna",165,92,73,NA,NA,8,17,15,1211620,1999940,1549165,"Anna/ASY_DescriptiveInfo.Rdata",0.734646802569845,0.00779050897093895,162,9.37934249815806,5.75497825020822e-17,0.0396198415180445
"AnneU",30,16,14,28,2,19,40,26.5,1070000,1790000,1425000,"AnneU/ASY_DescriptiveInfo.Rdata",0.412242053217222,0.0374128191455302,28,2.21999139700625,0.0346893544709587,0.0200215247915148
"BIG",2326,973,1353,1995,103,17.39,82.66,22.47,1076480,2086070,1610760,"BIG/ASY_DescriptiveInfo.Rdata",0.668682373531388,0.000527855072621133,2317,32.1941224207883,2.86268330546953e-188,0.0277991126479664
