"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.439925779901471,0.0391702623539628,27,2.32786841789086,0.0276575522035014,0.0369860812556792
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.305231455969453,0.0261645780214154,39,1.93045322878574,0.0608450621560248,0.0162288328620577
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.815669452156115,0.0271971087263332,48,5.70968616509281,6.93911275667359e-07,0.0391339424254438
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.385900376996287,0.0358153183494313,29,2.11366341430614,0.0432655562687663,0.0250267412348525
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.266077603589344,0.0161781038369676,63,2.12862082871475,0.0372025294010596,0.0177303398559581
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.16783662377289,0.010243278445856,98,1.66995332140416,0.0981198191910496,0.0135443898395834
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.258085265020064,0.0169394098690203,60,2.01571035747924,0.0483153767843306,0.0250030072532685
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.370655010565434,0.00797531767484053,133,4.29064194950746,3.40341076100573e-05,0.0282775347796989
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",0.321793178544358,0.022378200529337,46,2.2061028848653,0.0324101419254198,0.0223778360924007
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.437022375384356,0.0260831971022212,41,2.83222869426827,0.00713479641711154,0.0316221960560795
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.207981641489835,0.0364867207713715,27,1.10053540129819,0.280814312989698,0.0130611476360514
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.763777203358467,0.0369050802338583,34,4.51856687158139,7.16485856102427e-05,0.0405397998618576
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.403721830656745,0.0337967393210755,31,2.28379555336345,0.0293907167193745,0.0259195633962606
