"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.127877622151872,0.0373398645601336,26,-0.664471616154412,0.51223915663659,-0.00957020643485937
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.0584611095882888,0.0256848423247986,38,-0.365089512363013,0.717068813422116,-0.00998195775602824
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",0.150693593340906,0.0198304760693529,50,1.07616751148402,0.287017750100623,0.00808323845206109
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.0641571831581242,0.0334019357358464,29,0.351403364416951,0.727826134507495,0.00473887106406195
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.0153589892727239,0.0153864299888575,64,-0.123828130270053,0.901839441006509,-0.00146248909495359
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.127438881390561,0.0103929931365468,96,-1.2551274212356,0.212479264962986,-0.00775530282435071
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.109074672188261,0.0162249780976853,61,0.858854827665622,0.393783063224194,0.00404765002230234
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",0.242765319613235,0.00762568518669228,134,2.82067811969634,0.00552107136590695,0.0179983513031496
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.0263633144885823,0.0212839896207534,46,-0.180737778255469,0.857367361537618,-0.0035302383223418
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.135015007037827,0.0240265363348265,41,0.874997251005866,0.386672564752575,0.0110643480070397
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.117787785929366,0.0359620350448954,27,0.623274378100033,0.538334116431138,0.00883275419809639
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-0.0905615717101692,0.0286885914038659,34,-0.535769483520258,0.595605651082158,-0.00587849018611504
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-0.302083251094247,0.0337299079127689,30,-1.68192836005038,0.10296520546289,-0.0240435618699068
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.382579953043068,0.0466601613145747,22,1.83478899899144,0.0800962323193475,0.0376413884620874
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",-0.0858583236695405,0.00929338727658955,107,-0.892265873090026,0.374252677725161,-0.0127516795994086
