"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",0.0177255324778958,0.0357198963303862,27,0.0937947015854217,0.925964819210057,0.00102294582861315
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.561204091880834,0.0289368754092974,39,-3.54936632509969,0.00102539589045136,-0.0391921903943172
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.0106547692154332,0.0256424810782953,38,-0.0665390124237774,0.947297556648703,-0.000365684680001599
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",-0.532961413044681,0.0439239974575881,25,-2.71758064510681,0.0117688140256997,-0.0222721452818867
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.734913711637349,0.0211674846962715,59,-5.69261713214186,4.16011559333712e-07,-0.0239884778563231
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.289024642960436,0.0112018023883785,92,-2.78725271803113,0.00645749713052049,-0.0135008804157759
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",0.00742032361696806,0.0175443426421279,56,0.0560222147642383,0.955523515857371,-0.0015246711674383
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.189244321078102,0.00855383787000131,118,-2.0644118179707,0.0411703553921994,-0.00539269864204023
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.410905641046878,0.0230728026153632,46,-2.81702714837377,0.00711849921731415,-0.0165623186132428
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.44485818054347,0.0261654619142434,41,2.88301051566774,0.00624610224063297,0.0143405800341255
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",0.036146455856103,0.0370612327087214,26,0.187822494168948,0.852473968911619,0.00179285818673884
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",-1.18249709639479,0.0629314700552241,26,-6.14443515227532,1.69811528678971e-06,-0.0379394337817413
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",-0.303209334423367,0.0337409016206687,30,-1.68819812667983,0.101743911949505,-0.0180152716869752
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.420949266028511,0.0473303974906509,22,2.01880175973489,0.0558594441410051,0.0201673229366308
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.149500945607331,0.00945023613428732,106,1.54644980614018,0.124976419383617,0.0040344174116244
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.477250128229886,0.012376487138308,89,-4.52759225644159,1.84171313937741e-05,-0.014870828948847
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.217030464990553,0.015746940174877,64,-1.74975554798692,0.0849537888963807,-0.0141600434286276
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.195070491166599,0.0248542987380973,40,1.24906058999678,0.218903339143451,0.0095050290302021
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",0.170041343252104,0.0131747666130843,76,1.49210673142153,0.139810734618056,0.00758566834535187
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",0.224670532903354,0.0353530491095703,28,1.2098878469913,0.236437803931004,0.0063707696775406
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",-0.309636882535382,0.0130992187439139,79,-2.76947647076093,0.00699477085428802,-0.0105862127531364
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",-0.315447645277516,0.0141858595737238,73,-2.71358324939988,0.00829858322313909,-0.0158978268913934
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",-0.315724520259274,0.00509631546770133,205,-4.53149935173199,9.94143011037175e-06,-0.0196033299783167
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.191578249743072,0.0267987134970345,37,-1.18096764538048,0.24515151945759,-0.00678712979162585
"OHSU",112,60,52,NA,NA,7,13,10,966984,1890000,1450000,"ADHDs/OHSU/ASY_DescriptiveInfo.Rdata",-0.356054130566095,0.0106338727194659,99,-3.56054130566095,0.000570602788920753,-0.0143129818025514
"UAB-ADHD",95,64,31,NA,NA,6,50,27,1004270,1972030,1448310,"ADHDs/UAB-ADHD/ASY_DescriptiveInfo.Rdata",0.00449753407990043,0.0106384054670894,93,0.0436052107343536,0.965312585882086,-0.00241294121844446
"UCHZ",39,21,18,NA,NA,9,53,15,1059950,1864990,1483240,"ADHDs/UCHZ/ASY_DescriptiveInfo.Rdata",0.0541788283354552,0.0263544124399974,37,0.333980728055533,0.74027972435161,0.00228837485550466
"HUBIN_KASP",77,43,34,70,4,20,68.97,44.85,1321762,1992782,1560192,"Aldo/HUBIN_KASP/ASY_DescriptiveInfo.Rdata",0.638010986674686,0.016047053460784,74,5.52533722353853,4.67694639022561e-07,0.0284780261087121
"TOP15T",303,159,144,279,22,18.28,73.4,33.97,1199482,2065684,1613283,"Aldo/TOP15T/ASY_DescriptiveInfo.Rdata",-0.422647902357774,0.00363105208227904,299,-7.32047640596074,2.29731719666001e-12,-0.0180024728514081
