"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.106385348277909,0.0359163900415752,27,-0.562938349368682,0.578121967953026,-0.00474233535444791
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",0.121610839732743,0.0258306307223141,38,0.759459450714531,0.452263599368044,0.0070434617100644
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.048550644096918,0.0192534342792522,51,-0.350103673496482,0.727702697770983,-0.00215130968536895
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.0462909981932199,0.0357525510091737,27,0.2449489383204,0.808348107724855,0.00248347877025581
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",-0.0136647354080597,0.0158744978174109,62,-0.108460474863674,0.913980686328085,-0.000325037753310616
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",0.260209216025729,0.010658292969612,96,2.56276356735425,0.0119382082831076,0.0107821554140683
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.0131210304144757,0.016394853782288,60,-0.10247852354222,0.918718592253156,-0.000508646942828022
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.0102232741688441,0.00746307654975646,133,-0.118342954391047,0.90597447129448,-0.000377002499831284
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.0533308315659369,0.0222538241955057,44,-0.357754094034079,0.72223785094285,-0.00252239458471077
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",0.00485654970467152,0.0232560882101748,42,0.0318465261286005,0.974745304727364,0.000396329064245466
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",-0.137610783970339,0.0373877171826839,26,-0.715046608518034,0.480952220981507,-0.0072952581639431
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",0.14966508061425,0.0361142792206298,27,0.791953166511478,0.435291080806841,0.00710726591473419
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",0.0333165825614503,0.0312673436667746,31,0.188467051641304,0.851738917024128,0.00773470692676423
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",-0.372973975283962,0.04861612695998,21,-1.74940301167589,0.0948229736296944,-0.0153146314074438
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",0.0560709457083329,0.00944879222147465,105,0.577285718668358,0.564982223042403,-0.000713214258854925
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",-0.407237055517642,0.00808150007233836,133,-4.71410973544476,6.04450305739909e-06,-0.0138150581827109
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",-0.0818461599901765,0.0164483507697142,60,-0.63923894453748,0.525100571393051,-0.0047023100227268
"MTA",41,31,10,36,3,21,27,24,974013,1820500,1491000,"ADHDs/MTA/ASY_DescriptiveInfo.Rdata",0.221255989845395,0.0249872465005179,40,1.41672959125625,0.16430355786856,0.00715062193000166
"NeuroImage_ADAM",78,54,24,67,11,12,23,16,1312270,1963260,1606255,"ADHDs/NeuroImage_ADAM/ASY_DescriptiveInfo.Rdata",-0.562810610792012,0.0150438687248057,76,-4.93864306654631,4.55061876737684e-06,-0.0177870469475619
"NeuroImage_NIJM",39,23,16,34,5,10,23,18,1298620,1965620,1632120,"ADHDs/NeuroImage_NIJM/ASY_DescriptiveInfo.Rdata",-0.440214568350581,0.0281254982844627,38,-2.74913909821519,0.00909393916537019,-0.0147322394437929
"NICAP",81,47,34,69,11,9,11,10,1326550,1877490,1595970,"ADHDs/NICAP/ASY_DescriptiveInfo.Rdata",-0.108192303532489,0.0125731598408979,79,-0.967701381363746,0.336146805708835,-0.00373242690449529
"NICHE",80,67,13,69,11,7,16,10,1272060,1862389,1563165,"ADHDs/NICHE/ASY_DescriptiveInfo.Rdata",0.0680866316668279,0.0133642385960782,74,0.58964752681587,0.55722307775344,0.0049477342687026
"NIH",304,205,99,NA,NA,4,18,10,1146550,1829489,1460903,"ADHDs/NIH/ASY_DescriptiveInfo.Rdata",0.110288362257646,0.00488389204575115,205,1.58293578738734,0.114977614391719,0.0052531756722802
"NYU ADHD",40,22,18,NA,NA,20,49,31,934852,1762720,1497460,"ADHDs/NYU ADHD/ASY_DescriptiveInfo.Rdata",-0.35493202469815,0.0265747092769541,39,-2.24478722516258,0.0305271622092049,-0.0125329794266256
