"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",1.76908489697355,0.09160109594107,27,9.36111737110468,5.73999737261187e-10,0.340112857618347
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",1.92439756441204,0.0712913248239373,39,12.1709588544453,7.42143358155629e-15,0.298487875871554
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",2.55746989281526,0.085406522526565,49,18.084043038901,2.51452204069789e-23,0.286001922917348
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",1.45881754623607,0.0688024772201037,29,7.9902727735783,8.21227416295092e-09,0.213050165515559
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",1.54138011219915,0.0352891342764762,61,12.1368391403013,6.49055146914773e-18,0.25797556436546
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",1.96781454878721,0.0302695572083434,96,19.3807256713108,5.95516527335753e-35,0.268796835249496
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",1.73460263500448,0.0410561172242989,60,13.5476796678705,6.57146039883271e-20,0.279867371001318
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",1.83379785935783,0.0197162301065639,135,21.3855742055716,3.46775737208816e-45,0.291716224499973
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",1.69022946907747,0.0527921267188903,45,11.463694006486,6.08018345820909e-15,0.235447670208244
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",2.01814732022495,0.0740599830015993,40,12.9224480208425,7.32163226155627e-16,0.285065779415671
"Bergen_SVG",28,20,8,25,2,8,12,10,1232950,1822780,1462155,"ADHDs/Bergen_SVG/ASY_DescriptiveInfo.Rdata",1.52402198540724,0.0800489446667525,26,7.91905053173202,2.13941003183985e-08,0.276024551311362
"CAPS_UZH",36,21,15,NA,NA,8,18,12.5,1137280,1835190,1576350,"ADHDs/CAPS_UZH/ASY_DescriptiveInfo.Rdata",2.27494043653588,0.102505056996944,34,13.4587291243458,3.52448474266915e-15,0.286899128987008
"DAT_london",31,31,0,NA,NA,13,19,16,1169200,1506950,1340190,"ADHDs/DAT_london/ASY_DescriptiveInfo_nosex.Rdata",1.92253569259804,0.0890022420205223,31,10.875504202474,4.16055257402805e-12,0.305287135280606
"Dundee",23,10,13,NA,NA,10,18,13,1190680,1773720,1461230,"ADHDs/Dundee/ASY_DescriptiveInfo.Rdata",0.818752940863589,0.0606899176857449,21,3.84029169722836,0.000951159307039728,0.157806241475244
"Hartford_Olin",109,58,52,106,3,12,19,16,1018607,1736154,1375669,"ADHDs/Hartford_Olin/ASY_DescriptiveInfo.Rdata",1.85213787964393,0.0251408089130181,107,19.2479814609971,1.54127913143734e-36,0.311563596570661
"IMpACT_NL",141,59,82,121,15,19,63,32,1261830,1913790,1577095,"ADHDs/IMpACT_NL/ASY_DescriptiveInfo.Rdata",2.03051573095351,0.0347897393957368,87,19.0479259700675,8.67358046114574e-33,0.307297537320399
"MGH_ADHD",69,29,40,63,6,18,59,31,1116080,1811500,1451765,"ADHDs/MGH_ADHD/ASY_DescriptiveInfo.Rdata",1.95332188446227,0.0447343568024557,64,15.7481844979271,1.07126580936306e-23,0.269946105266963
