"Dataset","N","Male","Female","Right","Left","AgeMin","AgeMax","AgeMed","ICVMin","ICVMax","ICVMed","File","yi","vi","df","t","p","asy"
"ACPU",28,28,0,NA,NA,9,18,13,1371960,1831540,1602485,"ADHDs/ACPU/ASY_DescriptiveInfo_nosex.Rdata",-0.260269220738443,0.0369239297725678,27,-1.37721526399699,0.179757093714987,-0.0165462829012225
"ADHD-DUB1",41,32,9,32,6,18,49,20,1114260,1958970,1705070,"ADHDs/ADHD-DUB1/ASY_DescriptiveInfo.Rdata",-0.154019265932136,0.0252965241784784,39,-0.97410336778545,0.336008696970475,-0.0164908530110881
"ADHD WUE",57,27,30,52,3,24,61,41,1246860,1925240,1549455,"ADHDs/ADHD WUE/ASY_DescriptiveInfo.Rdata",-0.184869048254891,0.0199429075000262,50,-1.32022907676514,0.192770660033562,-0.0199758312665846
"ADHD_Rubia1",33,33,0,NA,NA,10,18,14,1304890,1886320,1570545,"ADHDs/ADHD_Rubia1/ASY_DescriptiveInfo_nosex.Rdata",0.0127029056698512,0.0344855407553872,28,0.068407240561632,0.945947642067039,0.00294937286274475
"ADHD200_KKI",65,41,28,61,8,8,13,10,1194100,1731530,1483570,"ADHDs/ADHD200_KKI/ASY_DescriptiveInfo.Rdata",0.066119917079685,0.0159077130431319,62,0.524810571903176,0.601586486024376,0.00771693914010394
"ADHD200_NYU",111,55,56,107,3,7,18,12,954388,1865180,1417110,"ADHDs/ADHD200_NYU/ASY_DescriptiveInfo.Rdata",-0.334936683775661,0.0108875390831889,96,-3.29874377111164,0.00136322935216709,-0.0265776572260403
"ADHD200_OHSU",63,31,39,NA,NA,7,13,10,1253320,1783890,1472580,"ADHDs/ADHD200_OHSU/ASY_DescriptiveInfo.Rdata",-0.0374781610445078,0.0169610560386041,58,-0.287875217344956,0.774468431971686,-0.00733133940664613
"ADHD200_Peking",143,84,59,141,2,8,15,12,1162580,1862900,1494940,"ADHDs/ADHD200_Peking/ASY_DescriptiveInfo.Rdata",-0.0749838400420073,0.0074282317639535,134,-0.871233491152125,0.385184899618975,-0.00694089967316964
"ADHDKonrad",79,53,26,NA,NA,4,17,10,1176780,1771630,1486775,"ADHDs/ADHDKonrad/ASY_DescriptiveInfo.Rdata",-0.318860427336423,0.0223582124693741,46,-2.18599695555479,0.0339426193968869,-0.0307153865006426
"Bergen_adultADHD",43,16,27,36,5,21,41,29,1107430,1837570,1556160,"ADHDs/Bergen_adultADHD/ASY_DescriptiveInfo.Rdata",-0.0285140866620136,0.0238192030135496,41,-0.18479240190844,0.854302934027198,-0.00817722556207224
